county,office,district,party,candidate,votes
ADA,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,23073
ADAMS,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,600
BANNOCK,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
BEAR LAKE,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
BENEWAH,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,1337
BINGHAM,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
BLAINE,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
BOISE,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,944
BONNER,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,6288
BONNEVILLE,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
BOUNDARY,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,1464
BUTTE,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
CAMAS,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
CANYON,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,11808
CARIBOU,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
CASSIA,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
CLARK,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
CLEARWATER,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,1386
CUSTER,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
ELMORE,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
FRANKLIN,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
FREMONT,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
GEM,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,2195
GOODING,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
IDAHO,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,2062
JEFFERSON,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
JEROME,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
KOOTENAI,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,13399
LATAH,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,8084
LEMHI,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
LEWIS,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,731
LINCOLN,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
MADISON,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
MINIDOKA,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
NEZ PERCE,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,7045
ONEIDA,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
OWYHEE,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,911
PAYETTE,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,2190
POWER,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
SHOSHONE,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,3138
TETON,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
TWIN FALLS,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,NA
VALLEY,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,1726
WASHINGTON,U.S. House of Representatives 1st District,1,Dem.,Larry LaRocco,1445
ADA,2nd District,2,Rep.,Mike Crapo,20856
ADAMS,2nd District,2,Rep.,Mike Crapo,NA
BANNOCK,2nd District,2,Rep.,Mike Crapo,17376
BEAR LAKE,2nd District,2,Rep.,Mike Crapo,1918
BENEWAH,2nd District,2,Rep.,Mike Crapo,NA
BINGHAM,2nd District,2,Rep.,Mike Crapo,9774
BLAINE,2nd District,2,Rep.,Mike Crapo,3900
BOISE,2nd District,2,Rep.,Mike Crapo,NA
BONNER,2nd District,2,Rep.,Mike Crapo,NA
