county,office,district,party,candidate,votes
ADA,U.S. Representative 1st District,1,Dem.,Larry LaRocco,3919
ADAMS,U.S. Representative 1st District,1,Dem.,Larry LaRocco,229
BANNOCK,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
BEAR LAKE,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
BENEWAH,U.S. Representative 1st District,1,Dem.,Larry LaRocco,387
BINGHAM,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
BLAINE,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
BOISE,U.S. Representative 1st District,1,Dem.,Larry LaRocco,206
BONNER,U.S. Representative 1st District,1,Dem.,Larry LaRocco,2473
BONNEVILLE,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
BOUNDARY,U.S. Representative 1st District,1,Dem.,Larry LaRocco,952
BUTTE,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
CAMAS,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
CANYON,U.S. Representative 1st District,1,Dem.,Larry LaRocco,2174
CARIBOU,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
CASSIA,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
CLARK,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
CLEARWATER,U.S. Representative 1st District,1,Dem.,Larry LaRocco,313
CUSTER,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
ELMORE,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
FRANKLIN,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
FREMONT,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
GEM,U.S. Representative 1st District,1,Dem.,Larry LaRocco,525
GOODING,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
IDAHO,U.S. Representative 1st District,1,Dem.,Larry LaRocco,1093
JEFFERSON,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
JEROME,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
KOOTENAI,U.S. Representative 1st District,1,Dem.,Larry LaRocco,2982
LATAH,U.S. Representative 1st District,1,Dem.,Larry LaRocco,2850
LEMHI,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
LEWIS,U.S. Representative 1st District,1,Dem.,Larry LaRocco,361
LINCOLN,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
MADISON,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
MINIDOKA,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
NEZ PERCE,U.S. Representative 1st District,1,Dem.,Larry LaRocco,1958
ONEIDA,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
OWYHEE,U.S. Representative 1st District,1,Dem.,Larry LaRocco,224
PAYETTE,U.S. Representative 1st District,1,Dem.,Larry LaRocco,441
POWER,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
SHOSHONE,U.S. Representative 1st District,1,Dem.,Larry LaRocco,2036
TETON,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
TWIN FALLS,U.S. Representative 1st District,1,Dem.,Larry LaRocco,NA
VALLEY,U.S. Representative 1st District,1,Dem.,Larry LaRocco,349
WASHINGTON,U.S. Representative 1st District,1,Dem.,Larry LaRocco,357
ADA,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,742
ADAMS,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,78
BANNOCK,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
BEAR LAKE,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
BENEWAH,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,21
BINGHAM,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
BLAINE,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
BOISE,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,71
BONNER,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,220
BONNEVILLE,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
BOUNDARY,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,30
BUTTE,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
CAMAS,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
CANYON,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,283
CARIBOU,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
CASSIA,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
CLARK,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
CLEARWATER,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,11
CUSTER,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
ELMORE,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
FRANKLIN,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
FREMONT,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
GEM,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,41
GOODING,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
IDAHO,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,83
JEFFERSON,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
JEROME,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
KOOTENAI,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,497
LATAH,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,137
LEMHI,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
LEWIS,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,10
LINCOLN,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
MADISON,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
MINIDOKA,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
NEZ PERCE,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,50
ONEIDA,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
OWYHEE,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,22
PAYETTE,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,31
POWER,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
SHOSHONE,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,54
TETON,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
TWIN FALLS,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,NA
VALLEY,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,104
WASHINGTON,U.S. Representative 1st District,1,Rep.,Henry (Sonny) Kinsey,121
ADA,U.S. Representative 1st District,1,Rep.,David H. Leroy,6290
ADAMS,U.S. Representative 1st District,1,Rep.,David H. Leroy,198
BANNOCK,U.S. Representative 1st District,1,Rep.,David H. Leroy,NA
BEAR LAKE,U.S. Representative 1st District,1,Rep.,David H. Leroy,NA
BENEWAH,U.S. Representative 1st District,1,Rep.,David H. Leroy,111
BINGHAM,U.S. Representative 1st District,1,Rep.,David H. Leroy,NA
BLAINE,U.S. Representative 1st District,1,Rep.,David H. Leroy,NA
BOISE,U.S. Representative 1st District,1,Rep.,David H. Leroy,353
BONNER,U.S. Representative 1st District,1,Rep.,David H. Leroy,611
BONNEVILLE,U.S. Representative 1st District,1,Rep.,David H. Leroy,NA
BOUNDARY,U.S. Representative 1st District,1,Rep.,David H. Leroy,91
BUTTE,U.S. Representative 1st District,1,Rep.,David H. Leroy,NA
CAMAS,U.S. Representative 1st District,1,Rep.,David H. Leroy,NA
CANYON,U.S. Representative 1st District,1,Rep.,David H. Leroy,3260
CARIBOU,U.S. Representative 1st District,1,Rep.,David H. Leroy,NA
CASSIA,U.S. Representative 1st District,1,Rep.,David H. Leroy,NA
CLARK,U.S. Representative 1st District,1,Rep.,David H. Leroy,NA
CLEARWATER,U.S. Representative 1st District,1,Rep.,David H. Leroy,40
CUSTER,U.S. Representative 1st District,1,Rep.,David H. Leroy,NA
ELMORE,U.S. Representative 1st District,1,Rep.,David H. Leroy,NA
FRANKLIN,U.S. Representative 1st District,1,Rep.,David H. Leroy,NA
FREMONT,U.S. Representative 1st District,1,Rep.,David H. Leroy,NA
GEM,U.S. Representative 1st District,1,Rep.,David H. Leroy,499
GOODING,U.S. Representative 1st District,1,Rep.,David H. Leroy,NA
IDAHO,U.S. Representative 1st District,1,Rep.,David H. Leroy,201
