county,office,district,party,candidate,votes
Ada,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,172
Adams,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,4
Bannock,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,34
Bear Lake,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,14
Benewah,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,6
Bingham,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,39
Blaine,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,11
Boise,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,7
Bonner,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,23
Bonneville,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,59
Boundary,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,6
Butte,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,3
Camas,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,1
Canyon,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,80
Caribou,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,12
Cassia,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,68
Clark,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,0
Clearwater,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,4
Custer,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,8
Elmore,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,18
Franklin,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,21
Fremont,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,10
Gem,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,10
Gooding,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,11
Idaho,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,38
Jefferson,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,12
Jerome,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,10
Kootenai,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,68
Latah,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,15
Lemhi,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,8
Lewis,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,5
Lincoln,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,3
Madison,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,22
Minidoka,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,16
Nez Perce,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,19
Oneida,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,2
Owyhee,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,6
Payette,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,13
Power,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,8
Shoshone,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,11
Teton,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,4
Twin Falls,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,36
Valley,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,7
Washington,UNITED STATES PRESIDENT,NA,REP,Jeb Bush,15
Ada,UNITED STATES PRESIDENT,NA,REP,Ben Carson,724
Adams,UNITED STATES PRESIDENT,NA,REP,Ben Carson,5
Bannock,UNITED STATES PRESIDENT,NA,REP,Ben Carson,160
Bear Lake,UNITED STATES PRESIDENT,NA,REP,Ben Carson,42
Benewah,UNITED STATES PRESIDENT,NA,REP,Ben Carson,14
Bingham,UNITED STATES PRESIDENT,NA,REP,Ben Carson,138
Blaine,UNITED STATES PRESIDENT,NA,REP,Ben Carson,23
Boise,UNITED STATES PRESIDENT,NA,REP,Ben Carson,31
Bonner,UNITED STATES PRESIDENT,NA,REP,Ben Carson,107
Bonneville,UNITED STATES PRESIDENT,NA,REP,Ben Carson,231
Boundary,UNITED STATES PRESIDENT,NA,REP,Ben Carson,39
Butte,UNITED STATES PRESIDENT,NA,REP,Ben Carson,6
Camas,UNITED STATES PRESIDENT,NA,REP,Ben Carson,11
Canyon,UNITED STATES PRESIDENT,NA,REP,Ben Carson,410
Caribou,UNITED STATES PRESIDENT,NA,REP,Ben Carson,35
Cassia,UNITED STATES PRESIDENT,NA,REP,Ben Carson,144
Clark,UNITED STATES PRESIDENT,NA,REP,Ben Carson,5
