county,office,district,party,candidate,votes
49000,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,31941
754,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,457
12016,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,11091
1419,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,562
1223,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,1270
7333,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,3565
2243,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,2865
912,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,623
3937,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,4995
16557,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,7014
1479,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,1095
602,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,433
202,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,134
19220,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,9095
1350,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,562
4052,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,1351
195,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,95
1152,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,1433
829,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,564
3087,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,1858
2115,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,524
2333,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,903
2455,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,1609
2178,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,1530
2709,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,1974
3471,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,978
2972,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,1739
13065,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,11553
5353,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,7233
1540,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,996
593,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,674
656,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,514
4591,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,741
3304,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,1815
5431,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,7069
713,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,351
1469,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,686
2895,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,1656
1352,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,837
1441,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,3182
762,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,472
10335,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,6593
1548,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,1259
1802,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,1122
202645,UNITED STATES PRESIDENT,NA,Dem.,Bill Clinton,137013
49000,UNITED STATES PRESIDENT,NA,Indept.,Bo Gritz,681
754,UNITED STATES PRESIDENT,NA,Indept.,Bo Gritz,27
12016,UNITED STATES PRESIDENT,NA,Indept.,Bo Gritz,861
1419,UNITED STATES PRESIDENT,NA,Indept.,Bo Gritz,179
1223,UNITED STATES PRESIDENT,NA,Indept.,Bo Gritz,25
7333,UNITED STATES PRESIDENT,NA,Indept.,Bo Gritz,886
2243,UNITED STATES PRESIDENT,NA,Indept.,Bo Gritz,57
912,UNITED STATES PRESIDENT,NA,Indept.,Bo Gritz,22
3937,UNITED STATES PRESIDENT,NA,Indept.,Bo Gritz,168
16557,UNITED STATES PRESIDENT,NA,Indept.,Bo Gritz,1433
1479,UNITED STATES PRESIDENT,NA,Indept.,Bo Gritz,46
602,UNITED STATES PRESIDENT,NA,Indept.,Bo Gritz,73
202,UNITED STATES PRESIDENT,NA,Indept.,Bo Gritz,2
19220,UNITED STATES PRESIDENT,NA,Indept.,Bo Gritz,431
1350,UNITED STATES PRESIDENT,NA,Indept.,Bo Gritz,230
4052,UNITED STATES PRESIDENT,NA,Indept.,Bo Gritz,413
195,UNITED STATES PRESIDENT,NA,Indept.,Bo Gritz,14
1152,UNITED STATES PRESIDENT,NA,Indept.,Bo Gritz,22
829,UNITED STATES PRESIDENT,NA,Indept.,Bo Gritz,38
3087,UNITED STATES PRESIDENT,NA,Indept.,Bo Gritz,63
2115,UNITED STATES PRESIDENT,NA,Indept.,Bo Gritz,502
2333,UNITED STATES PRESIDENT,NA,Indept.,Bo Gritz,361
2455,UNITED STATES PRESIDENT,NA,Indept.,Bo Gritz,89
