county,office,district,party,candidate,votes
Ada,U.S. Senate,NA,DEM,William Bryk,1585
Adams,U.S. Senate,NA,DEM,William Bryk,12
Bannock,U.S. Senate,NA,DEM,William Bryk,853
Bear Lake,U.S. Senate,NA,DEM,William Bryk,28
Benewah,U.S. Senate,NA,DEM,William Bryk,83
Bingham,U.S. Senate,NA,DEM,William Bryk,102
Blaine,U.S. Senate,NA,DEM,William Bryk,280
Boise,U.S. Senate,NA,DEM,William Bryk,39
Bonner,U.S. Senate,NA,DEM,William Bryk,156
Bonneville,U.S. Senate,NA,DEM,William Bryk,243
Boundary,U.S. Senate,NA,DEM,William Bryk,37
Butte,U.S. Senate,NA,DEM,William Bryk,10
Camas,U.S. Senate,NA,DEM,William Bryk,4
Canyon,U.S. Senate,NA,DEM,William Bryk,353
Caribou,U.S. Senate,NA,DEM,William Bryk,18
Cassia,U.S. Senate,NA,DEM,William Bryk,34
Clark,U.S. Senate,NA,DEM,William Bryk,2
Clearwater,U.S. Senate,NA,DEM,William Bryk,74
Custer,U.S. Senate,NA,DEM,William Bryk,17
Elmore,U.S. Senate,NA,DEM,William Bryk,94
Franklin,U.S. Senate,NA,DEM,William Bryk,32
Fremont,U.S. Senate,NA,DEM,William Bryk,29
Gem,U.S. Senate,NA,DEM,William Bryk,49
Gooding,U.S. Senate,NA,DEM,William Bryk,45
Idaho,U.S. Senate,NA,DEM,William Bryk,61
Jefferson,U.S. Senate,NA,DEM,William Bryk,42
Jerome,U.S. Senate,NA,DEM,William Bryk,53
Kootenai,U.S. Senate,NA,DEM,William Bryk,375
Latah,U.S. Senate,NA,DEM,William Bryk,172
Lemhi,U.S. Senate,NA,DEM,William Bryk,26
Lewis,U.S. Senate,NA,DEM,William Bryk,23
Lincoln,U.S. Senate,NA,DEM,William Bryk,24
Madison,U.S. Senate,NA,DEM,William Bryk,44
Minidoka,U.S. Senate,NA,DEM,William Bryk,58
Nez Perce,U.S. Senate,NA,DEM,William Bryk,314
Oneida,U.S. Senate,NA,DEM,William Bryk,65
Owyhee,U.S. Senate,NA,DEM,William Bryk,27
Payette,U.S. Senate,NA,DEM,William Bryk,53
Power,U.S. Senate,NA,DEM,William Bryk,32
Shoshone,U.S. Senate,NA,DEM,William Bryk,264
Teton,U.S. Senate,NA,DEM,William Bryk,177
Twin Falls,U.S. Senate,NA,DEM,William Bryk,162
Valley,U.S. Senate,NA,DEM,William Bryk,49
Washington,U.S. Senate,NA,DEM,William Bryk,27
Ada,U.S. Senate,NA,DEM,P. Tom Sullivan,4453
Adams,U.S. Senate,NA,DEM,P. Tom Sullivan,59
Bannock,U.S. Senate,NA,DEM,P. Tom Sullivan,2167
Bear Lake,U.S. Senate,NA,DEM,P. Tom Sullivan,55
Benewah,U.S. Senate,NA,DEM,P. Tom Sullivan,202
Bingham,U.S. Senate,NA,DEM,P. Tom Sullivan,255
Blaine,U.S. Senate,NA,DEM,P. Tom Sullivan,1237
Boise,U.S. Senate,NA,DEM,P. Tom Sullivan,53
Bonner,U.S. Senate,NA,DEM,P. Tom Sullivan,439
Bonneville,U.S. Senate,NA,DEM,P. Tom Sullivan,881
Boundary,U.S. Senate,NA,DEM,P. Tom Sullivan,81
Butte,U.S. Senate,NA,DEM,P. Tom Sullivan,32
Camas,U.S. Senate,NA,DEM,P. Tom Sullivan,9
Canyon,U.S. Senate,NA,DEM,P. Tom Sullivan,827
Caribou,U.S. Senate,NA,DEM,P. Tom Sullivan,31
Cassia,U.S. Senate,NA,DEM,P. Tom Sullivan,36
Clark,U.S. Senate,NA,DEM,P. Tom Sullivan,5
Clearwater,U.S. Senate,NA,DEM,P. Tom Sullivan,205
Custer,U.S. Senate,NA,DEM,P. Tom Sullivan,50
Elmore,U.S. Senate,NA,DEM,P. Tom Sullivan,180
Franklin,U.S. Senate,NA,DEM,P. Tom Sullivan,56
Fremont,U.S. Senate,NA,DEM,P. Tom Sullivan,68
Gem,U.S. Senate,NA,DEM,P. Tom Sullivan,133
Gooding,U.S. Senate,NA,DEM,P. Tom Sullivan,148
Idaho,U.S. Senate,NA,DEM,P. Tom Sullivan,212
Jefferson,U.S. Senate,NA,DEM,P. Tom Sullivan,110
Jerome,U.S. Senate,NA,DEM,P. Tom Sullivan,136
Kootenai,U.S. Senate,NA,DEM,P. Tom Sullivan,1053
Latah,U.S. Senate,NA,DEM,P. Tom Sullivan,925
