county,office,district,party,candidate,votes
Ada,UNITED STATES PRESIDENT,NA,IND,"Ross C. ""Rocky"" Anderson",636
Ada,UNITED STATES PRESIDENT,NA,CON,Virgil H. Goode,477
Ada,UNITED STATES PRESIDENT,NA,LIB,Gary Johnson,3422
Ada,UNITED STATES PRESIDENT,NA,DEM,Barack Obama,77137
Ada,UNITED STATES PRESIDENT,NA,REP,Mitt Romney,97554
Ada,UNITED STATES PRESIDENT,NA,IND,Jill Stein,1320
Ada,UNITED STATES REPRESENTATIVE,1,DEM,Jimmy Farris,25482
Ada,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,55863
Ada,UNITED STATES REPRESENTATIVE,1,LIB,Rob Oates,3221
Ada,UNITED STATES REPRESENTATIVE,1,IND,Pro-Life,1676
Ada,UNITED STATES REPRESENTATIVE,2,DEM,Nicole LeFavour,47227
Ada,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,42753
Ada,UNITED STATES REPRESENTATIVE,2,W/I,Jack Wayne Chappell,192
Adams,UNITED STATES PRESIDENT,NA,IND,"Ross C. ""Rocky"" Anderson",11
Adams,UNITED STATES PRESIDENT,NA,CON,Virgil H. Goode,8
Adams,UNITED STATES PRESIDENT,NA,LIB,Gary Johnson,28
Adams,UNITED STATES PRESIDENT,NA,DEM,Barack Obama,577
Adams,UNITED STATES PRESIDENT,NA,REP,Mitt Romney,1413
Adams,UNITED STATES PRESIDENT,NA,IND,Jill Stein,23
Adams,UNITED STATES REPRESENTATIVE,1,DEM,Jimmy Farris,494
Adams,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,1255
Adams,UNITED STATES REPRESENTATIVE,1,LIB,Rob Oates,71
Adams,UNITED STATES REPRESENTATIVE,1,IND,Pro-Life,44
Adams,UNITED STATES REPRESENTATIVE,2,DEM,Nicole LeFavour,NA
Adams,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,NA
Adams,UNITED STATES REPRESENTATIVE,2,W/I,Jack Wayne Chappell,NA
Bannock,UNITED STATES PRESIDENT,NA,IND,"Ross C. ""Rocky"" Anderson",218
Bannock,UNITED STATES PRESIDENT,NA,CON,Virgil H. Goode,102
Bannock,UNITED STATES PRESIDENT,NA,LIB,Gary Johnson,442
Bannock,UNITED STATES PRESIDENT,NA,DEM,Barack Obama,13214
Bannock,UNITED STATES PRESIDENT,NA,REP,Mitt Romney,21010
Bannock,UNITED STATES PRESIDENT,NA,IND,Jill Stein,274
Bannock,UNITED STATES REPRESENTATIVE,1,DEM,Jimmy Farris,NA
Bannock,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,NA
Bannock,UNITED STATES REPRESENTATIVE,1,LIB,Rob Oates,NA
Bannock,UNITED STATES REPRESENTATIVE,1,IND,Pro-Life,NA
Bannock,UNITED STATES REPRESENTATIVE,2,DEM,Nicole LeFavour,14321
Bannock,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,20545
Bannock,UNITED STATES REPRESENTATIVE,2,W/I,Jack Wayne Chappell,0
Bear Lake,UNITED STATES PRESIDENT,NA,IND,"Ross C. ""Rocky"" Anderson",6
Bear Lake,UNITED STATES PRESIDENT,NA,CON,Virgil H. Goode,11
Bear Lake,UNITED STATES PRESIDENT,NA,LIB,Gary Johnson,9
Bear Lake,UNITED STATES PRESIDENT,NA,DEM,Barack Obama,302
Bear Lake,UNITED STATES PRESIDENT,NA,REP,Mitt Romney,2489
Bear Lake,UNITED STATES PRESIDENT,NA,IND,Jill Stein,5
Bear Lake,UNITED STATES REPRESENTATIVE,1,DEM,Jimmy Farris,NA
Bear Lake,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,NA
Bear Lake,UNITED STATES REPRESENTATIVE,1,LIB,Rob Oates,NA
Bear Lake,UNITED STATES REPRESENTATIVE,1,IND,Pro-Life,NA
Bear Lake,UNITED STATES REPRESENTATIVE,2,DEM,Nicole LeFavour,394
Bear Lake,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,2219
