county,office,district,party,candidate,votes
Ada,UNITED STATES SENATOR,NA,CON,Randy Lynn Bergquist,3653
Ada,UNITED STATES SENATOR,NA,REP,Mike Crapo,80273
Ada,UNITED STATES SENATOR,NA,WRITE IN,Frederick R. Reinisch Jr.,3
Ada,UNITED STATES SENATOR,NA,DEM,P. Tom Sullivan,36377
Ada,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,40125
Ada,UNITED STATES REPRESENTATIVE,1,DEM,Walt Minnick,30990
Ada,UNITED STATES REPRESENTATIVE,1,IND,Dave Olson,3770
Ada,UNITED STATES REPRESENTATIVE,1,LIB,Mike Washburn,1167
Ada,UNITED STATES REPRESENTATIVE,2,DEM,Mike Crawford,17444
Ada,UNITED STATES REPRESENTATIVE,2,IND,Brian Schad,2052
Ada,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,24087
Ada,GOVERNOR,NA,DEM,Keith Allred,46777
Ada,GOVERNOR,NA,LIB,Ted Dunlap,1380
Ada,GOVERNOR,NA,IND,Jana M. Kemp,8451
Ada,GOVERNOR,NA,REP,"C.L. ""Butch"" Otter",63871
Ada,GOVERNOR,NA,IND,Pro-Life,727
Adams,UNITED STATES SENATOR,NA,CON,Randy Lynn Bergquist,95
Adams,UNITED STATES SENATOR,NA,REP,Mike Crapo,1225
Adams,UNITED STATES SENATOR,NA,WRITE IN,Frederick R. Reinisch Jr.,0
Adams,UNITED STATES SENATOR,NA,DEM,P. Tom Sullivan,338
Adams,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,823
Adams,UNITED STATES REPRESENTATIVE,1,DEM,Walt Minnick,669
Adams,UNITED STATES REPRESENTATIVE,1,IND,Dave Olson,118
Adams,UNITED STATES REPRESENTATIVE,1,LIB,Mike Washburn,45
Adams,UNITED STATES REPRESENTATIVE,2,DEM,Mike Crawford,NA
Adams,UNITED STATES REPRESENTATIVE,2,IND,Brian Schad,NA
Adams,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,NA
Adams,GOVERNOR,NA,DEM,Keith Allred,384
Adams,GOVERNOR,NA,LIB,Ted Dunlap,38
Adams,GOVERNOR,NA,IND,Jana M. Kemp,110
Adams,GOVERNOR,NA,REP,"C.L. ""Butch"" Otter",1137
Adams,GOVERNOR,NA,IND,Pro-Life,6
Bannock,UNITED STATES SENATOR,NA,CON,Randy Lynn Bergquist,844
Bannock,UNITED STATES SENATOR,NA,REP,Mike Crapo,14636
Bannock,UNITED STATES SENATOR,NA,WRITE IN,Frederick R. Reinisch Jr.,23
Bannock,UNITED STATES SENATOR,NA,DEM,P. Tom Sullivan,7988
Bannock,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,NA
Bannock,UNITED STATES REPRESENTATIVE,1,DEM,Walt Minnick,NA
Bannock,UNITED STATES REPRESENTATIVE,1,IND,Dave Olson,NA
Bannock,UNITED STATES REPRESENTATIVE,1,LIB,Mike Washburn,NA
Bannock,UNITED STATES REPRESENTATIVE,2,DEM,Mike Crawford,7523
Bannock,UNITED STATES REPRESENTATIVE,2,IND,Brian Schad,1600
Bannock,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,14248
Bannock,GOVERNOR,NA,DEM,Keith Allred,10613
Bannock,GOVERNOR,NA,LIB,Ted Dunlap,341
Bannock,GOVERNOR,NA,IND,Jana M. Kemp,1138
Bannock,GOVERNOR,NA,REP,"C.L. ""Butch"" Otter",11308
Bannock,GOVERNOR,NA,IND,Pro-Life,155
Bear Lake,UNITED STATES SENATOR,NA,CON,Randy Lynn Bergquist,104
Bear Lake,UNITED STATES SENATOR,NA,REP,Mike Crapo,1771
Bear Lake,UNITED STATES SENATOR,NA,WRITE IN,Frederick R. Reinisch Jr.,0
Bear Lake,UNITED STATES SENATOR,NA,DEM,P. Tom Sullivan,331
Bear Lake,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,NA
Bear Lake,UNITED STATES REPRESENTATIVE,1,DEM,Walt Minnick,NA
Bear Lake,UNITED STATES REPRESENTATIVE,1,IND,Dave Olson,NA
Bear Lake,UNITED STATES REPRESENTATIVE,1,LIB,Mike Washburn,NA
Bear Lake,UNITED STATES REPRESENTATIVE,2,DEM,Mike Crawford,315
Bear Lake,UNITED STATES REPRESENTATIVE,2,IND,Brian Schad,127
Bear Lake,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,1757
Bear Lake,GOVERNOR,NA,DEM,Keith Allred,592
Bear Lake,GOVERNOR,NA,LIB,Ted Dunlap,30
Bear Lake,GOVERNOR,NA,IND,Jana M. Kemp,102
Bear Lake,GOVERNOR,NA,REP,"C.L. ""Butch"" Otter",1484
Bear Lake,GOVERNOR,NA,IND,Pro-Life,9
Benewah,UNITED STATES SENATOR,NA,CON,Randy Lynn Bergquist,185
Benewah,UNITED STATES SENATOR,NA,REP,Mike Crapo,2140
Benewah,UNITED STATES SENATOR,NA,WRITE IN,Frederick R. Reinisch Jr.,0
Benewah,UNITED STATES SENATOR,NA,DEM,P. Tom Sullivan,673
Benewah,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,1480
Benewah,UNITED STATES REPRESENTATIVE,1,DEM,Walt Minnick,1278
Benewah,UNITED STATES REPRESENTATIVE,1,IND,Dave Olson,187
Benewah,UNITED STATES REPRESENTATIVE,1,LIB,Mike Washburn,73
Benewah,UNITED STATES REPRESENTATIVE,2,DEM,Mike Crawford,NA
Benewah,UNITED STATES REPRESENTATIVE,2,IND,Brian Schad,NA
Benewah,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,NA
Benewah,GOVERNOR,NA,DEM,Keith Allred,773
Benewah,GOVERNOR,NA,LIB,Ted Dunlap,90
Benewah,GOVERNOR,NA,IND,Jana M. Kemp,147
Benewah,GOVERNOR,NA,REP,"C.L. ""Butch"" Otter",1969
Benewah,GOVERNOR,NA,IND,Pro-Life,36
Bingham,UNITED STATES SENATOR,NA,CON,Randy Lynn Bergquist,440
Bingham,UNITED STATES SENATOR,NA,REP,Mike Crapo,9225
Bingham,UNITED STATES SENATOR,NA,WRITE IN,Frederick R. Reinisch Jr.,0
Bingham,UNITED STATES SENATOR,NA,DEM,P. Tom Sullivan,2182
Bingham,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,NA
Bingham,UNITED STATES REPRESENTATIVE,1,DEM,Walt Minnick,NA
Bingham,UNITED STATES REPRESENTATIVE,1,IND,Dave Olson,NA
Bingham,UNITED STATES REPRESENTATIVE,1,LIB,Mike Washburn,NA
Bingham,UNITED STATES REPRESENTATIVE,2,DEM,Mike Crawford,2051
Bingham,UNITED STATES REPRESENTATIVE,2,IND,Brian Schad,979
Bingham,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,8757
Bingham,GOVERNOR,NA,DEM,Keith Allred,4202
Bingham,GOVERNOR,NA,LIB,Ted Dunlap,115
Bingham,GOVERNOR,NA,IND,Jana M. Kemp,738
Bingham,GOVERNOR,NA,REP,"C.L. ""Butch"" Otter",6786
Bingham,GOVERNOR,NA,IND,Pro-Life,64
Blaine,UNITED STATES SENATOR,NA,CON,Randy Lynn Bergquist,117
Blaine,UNITED STATES SENATOR,NA,REP,Mike Crapo,3246
Blaine,UNITED STATES SENATOR,NA,WRITE IN,Frederick R. Reinisch Jr.,0
Blaine,UNITED STATES SENATOR,NA,DEM,P. Tom Sullivan,3213
Blaine,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,NA
Blaine,UNITED STATES REPRESENTATIVE,1,DEM,Walt Minnick,NA
Blaine,UNITED STATES REPRESENTATIVE,1,IND,Dave Olson,NA
Blaine,UNITED STATES REPRESENTATIVE,1,LIB,Mike Washburn,NA
Blaine,UNITED STATES REPRESENTATIVE,2,DEM,Mike Crawford,2853
Blaine,UNITED STATES REPRESENTATIVE,2,IND,Brian Schad,218
Blaine,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,3443
Blaine,GOVERNOR,NA,DEM,Keith Allred,3843
Blaine,GOVERNOR,NA,LIB,Ted Dunlap,61
Blaine,GOVERNOR,NA,IND,Jana M. Kemp,193
Blaine,GOVERNOR,NA,REP,"C.L. ""Butch"" Otter",2516
Blaine,GOVERNOR,NA,IND,Pro-Life,22
Boise,UNITED STATES SENATOR,NA,CON,Randy Lynn Bergquist,146
Boise,UNITED STATES SENATOR,NA,REP,Mike Crapo,2022
Boise,UNITED STATES SENATOR,NA,WRITE IN,Frederick R. Reinisch Jr.,1
Boise,UNITED STATES SENATOR,NA,DEM,P. Tom Sullivan,580
Boise,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,1348
Boise,UNITED STATES REPRESENTATIVE,1,DEM,Walt Minnick,1095
Boise,UNITED STATES REPRESENTATIVE,1,IND,Dave Olson,194
Boise,UNITED STATES REPRESENTATIVE,1,LIB,Mike Washburn,60
Boise,UNITED STATES REPRESENTATIVE,2,DEM,Mike Crawford,NA
Boise,UNITED STATES REPRESENTATIVE,2,IND,Brian Schad,NA
Boise,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,NA
Boise,GOVERNOR,NA,DEM,Keith Allred,717
Boise,GOVERNOR,NA,LIB,Ted Dunlap,42
Boise,GOVERNOR,NA,IND,Jana M. Kemp,232
Boise,GOVERNOR,NA,REP,"C.L. ""Butch"" Otter",1756
Boise,GOVERNOR,NA,IND,Pro-Life,16
Bonner,UNITED STATES SENATOR,NA,CON,Randy Lynn Bergquist,560
Bonner,UNITED STATES SENATOR,NA,REP,Mike Crapo,9372
Bonner,UNITED STATES SENATOR,NA,WRITE IN,Frederick R. Reinisch Jr.,0
Bonner,UNITED STATES SENATOR,NA,DEM,P. Tom Sullivan,4032
Bonner,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,6460
Bonner,UNITED STATES REPRESENTATIVE,1,DEM,Walt Minnick,6206
Bonner,UNITED STATES REPRESENTATIVE,1,IND,Dave Olson,940
Bonner,UNITED STATES REPRESENTATIVE,1,LIB,Mike Washburn,333
Bonner,UNITED STATES REPRESENTATIVE,2,DEM,Mike Crawford,NA
Bonner,UNITED STATES REPRESENTATIVE,2,IND,Brian Schad,NA
Bonner,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,NA
Bonner,GOVERNOR,NA,DEM,Keith Allred,4297
Bonner,GOVERNOR,NA,LIB,Ted Dunlap,243
Bonner,GOVERNOR,NA,IND,Jana M. Kemp,569
Bonner,GOVERNOR,NA,REP,"C.L. ""Butch"" Otter",8742
Bonner,GOVERNOR,NA,IND,Pro-Life,185
Bonneville,UNITED STATES SENATOR,NA,CON,Randy Lynn Bergquist,1177
Bonneville,UNITED STATES SENATOR,NA,REP,Mike Crapo,22073
Bonneville,UNITED STATES SENATOR,NA,WRITE IN,Frederick R. Reinisch Jr.,19
Bonneville,UNITED STATES SENATOR,NA,DEM,P. Tom Sullivan,5937
Bonneville,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,NA
Bonneville,UNITED STATES REPRESENTATIVE,1,DEM,Walt Minnick,NA
Bonneville,UNITED STATES REPRESENTATIVE,1,IND,Dave Olson,NA
Bonneville,UNITED STATES REPRESENTATIVE,1,LIB,Mike Washburn,NA
Bonneville,UNITED STATES REPRESENTATIVE,2,DEM,Mike Crawford,5280
Bonneville,UNITED STATES REPRESENTATIVE,2,IND,Brian Schad,2246
Bonneville,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,21511
Bonneville,GOVERNOR,NA,DEM,Keith Allred,11438
Bonneville,GOVERNOR,NA,LIB,Ted Dunlap,358
Bonneville,GOVERNOR,NA,IND,Jana M. Kemp,1250
Bonneville,GOVERNOR,NA,REP,"C.L. ""Butch"" Otter",16204
Bonneville,GOVERNOR,NA,IND,Pro-Life,198
Boundary,UNITED STATES SENATOR,NA,CON,Randy Lynn Bergquist,237
Boundary,UNITED STATES SENATOR,NA,REP,Mike Crapo,2495
Boundary,UNITED STATES SENATOR,NA,WRITE IN,Frederick R. Reinisch Jr.,0
Boundary,UNITED STATES SENATOR,NA,DEM,P. Tom Sullivan,775
Boundary,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,1838
Boundary,UNITED STATES REPRESENTATIVE,1,DEM,Walt Minnick,1333
Boundary,UNITED STATES REPRESENTATIVE,1,IND,Dave Olson,258
Boundary,UNITED STATES REPRESENTATIVE,1,LIB,Mike Washburn,82
Boundary,UNITED STATES REPRESENTATIVE,2,DEM,Mike Crawford,NA
Boundary,UNITED STATES REPRESENTATIVE,2,IND,Brian Schad,NA
Boundary,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,NA
Boundary,GOVERNOR,NA,DEM,Keith Allred,892
Boundary,GOVERNOR,NA,LIB,Ted Dunlap,62
Boundary,GOVERNOR,NA,IND,Jana M. Kemp,147
Boundary,GOVERNOR,NA,REP,"C.L. ""Butch"" Otter",2381
