county,office,district,party,candidate,votes
Ada,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,59423
Ada,UNITED STATES SENATOR,NA,REP,Jim Risch,69404
Ada,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,39880
Ada,UNITED STATES REPRESENTATIVE,1,DEM,Shirley G. Ringo,21783
Ada,UNITED STATES REPRESENTATIVE,1,W/I,Reed McCandless,0
Ada,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,30033
Ada,UNITED STATES REPRESENTATIVE,2,DEM,Richard Stallings,36531
Ada,GOVERNOR,NA,DEM,A.J. Balukoff,66347
Ada,GOVERNOR,NA,LIB,John T. Bujak,4424
Ada,GOVERNOR,NA,IND,Jill Humble,2008
Ada,GOVERNOR,NA,REP,"C.L. ""Butch"" Otter",55407
Ada,GOVERNOR,NA,CON,Steve Pankey,877
Ada,GOVERNOR,NA,IND,Pro-Life,600
Ada,GOVERNOR,NA,W/I,Walt Bayes,0
Ada,GOVERNOR,NA,W/I,Marcus Bradley Ellis,0
Ada,GOVERNOR,NA,W/I,Paul Venable,14
Ada,GOVERNOR,NA,W/I,Kurt M. Wertzbaugher,0
Ada,GOVERNOR,NA,W/I,Larry Allen White,1
Adams,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,375
Adams,UNITED STATES SENATOR,NA,REP,Jim Risch,1022
Adams,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,965
Adams,UNITED STATES REPRESENTATIVE,1,DEM,Shirley G. Ringo,431
Adams,UNITED STATES REPRESENTATIVE,1,W/I,Reed McCandless,0
Adams,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,NA
Adams,UNITED STATES REPRESENTATIVE,2,DEM,Richard Stallings,NA
Adams,GOVERNOR,NA,DEM,A.J. Balukoff,373
Adams,GOVERNOR,NA,LIB,John T. Bujak,57
Adams,GOVERNOR,NA,IND,Jill Humble,38
Adams,GOVERNOR,NA,REP,"C.L. ""Butch"" Otter",907
Adams,GOVERNOR,NA,CON,Steve Pankey,24
Adams,GOVERNOR,NA,IND,Pro-Life,9
Adams,GOVERNOR,NA,W/I,Walt Bayes,0
Adams,GOVERNOR,NA,W/I,Marcus Bradley Ellis,0
Adams,GOVERNOR,NA,W/I,Paul Venable,0
Adams,GOVERNOR,NA,W/I,Kurt M. Wertzbaugher,0
Adams,GOVERNOR,NA,W/I,Larry Allen White,0
Bannock,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,9351
Bannock,UNITED STATES SENATOR,NA,REP,Jim Risch,12980
Bannock,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,NA
Bannock,UNITED STATES REPRESENTATIVE,1,DEM,Shirley G. Ringo,NA
Bannock,UNITED STATES REPRESENTATIVE,1,W/I,Reed McCandless,NA
Bannock,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,12080
Bannock,UNITED STATES REPRESENTATIVE,2,DEM,Richard Stallings,10125
Bannock,GOVERNOR,NA,DEM,A.J. Balukoff,10355
Bannock,GOVERNOR,NA,LIB,John T. Bujak,824
Bannock,GOVERNOR,NA,IND,Jill Humble,629
Bannock,GOVERNOR,NA,REP,"C.L. ""Butch"" Otter",10282
Bannock,GOVERNOR,NA,CON,Steve Pankey,254
Bannock,GOVERNOR,NA,IND,Pro-Life,109
Bannock,GOVERNOR,NA,W/I,Walt Bayes,0
Bannock,GOVERNOR,NA,W/I,Marcus Bradley Ellis,0
Bannock,GOVERNOR,NA,W/I,Paul Venable,0
Bannock,GOVERNOR,NA,W/I,Kurt M. Wertzbaugher,0
Bannock,GOVERNOR,NA,W/I,Larry Allen White,1
Bear Lake,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,289
Bear Lake,UNITED STATES SENATOR,NA,REP,Jim Risch,1599
Bear Lake,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,NA
Bear Lake,UNITED STATES REPRESENTATIVE,1,DEM,Shirley G. Ringo,NA
Bear Lake,UNITED STATES REPRESENTATIVE,1,W/I,Reed McCandless,NA
Bear Lake,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,1516
Bear Lake,UNITED STATES REPRESENTATIVE,2,DEM,Richard Stallings,354
Bear Lake,GOVERNOR,NA,DEM,A.J. Balukoff,317
