county,office,district,party,candidate,votes
Ada,UNITED STATES SENATOR,NA,CON,Pro-Life,15
Ada,UNITED STATES SENATOR,NA,CON,Ray J. Writz,21
Ada,UNITED STATES SENATOR,NA,DEM,Jerry Sturgill,10415
Ada,UNITED STATES SENATOR,NA,REP,Mike Crapo,18799
Ada,UNITED STATES REPRESENTATIVE,1,DEM,Shizandra Fox,691
Ada,UNITED STATES REPRESENTATIVE,1,DEM,Staniela Nikolova,469
Ada,UNITED STATES REPRESENTATIVE,1,DEM,James Piotrowski,1820
Ada,UNITED STATES REPRESENTATIVE,1,REP,Gordon Counsil,1355
Ada,UNITED STATES REPRESENTATIVE,1,REP,Isaac M. Haugen,1109
Ada,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,10233
Ada,UNITED STATES REPRESENTATIVE,2,CON,Anthony Tomkins,13
Ada,UNITED STATES REPRESENTATIVE,2,DEM,Jennifer Martinez,7526
Ada,UNITED STATES REPRESENTATIVE,2,REP,Lisa Marie,1768
Ada,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,5825
Adams,UNITED STATES SENATOR,NA,CON,Pro-Life,3
Adams,UNITED STATES SENATOR,NA,CON,Ray J. Writz,1
Adams,UNITED STATES SENATOR,NA,DEM,Jerry Sturgill,76
Adams,UNITED STATES SENATOR,NA,REP,Mike Crapo,726
Adams,UNITED STATES REPRESENTATIVE,1,DEM,Shizandra Fox,19
Adams,UNITED STATES REPRESENTATIVE,1,DEM,Staniela Nikolova,15
Adams,UNITED STATES REPRESENTATIVE,1,DEM,James Piotrowski,38
Adams,UNITED STATES REPRESENTATIVE,1,REP,Gordon Counsil,85
Adams,UNITED STATES REPRESENTATIVE,1,REP,Isaac M. Haugen,56
Adams,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,610
Adams,UNITED STATES REPRESENTATIVE,2,CON,Anthony Tomkins,NA
Adams,UNITED STATES REPRESENTATIVE,2,DEM,Jennifer Martinez,NA
Adams,UNITED STATES REPRESENTATIVE,2,REP,Lisa Marie,NA
Adams,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,NA
Bannock,UNITED STATES SENATOR,NA,CON,Pro-Life,8
Bannock,UNITED STATES SENATOR,NA,CON,Ray J. Writz,6
Bannock,UNITED STATES SENATOR,NA,DEM,Jerry Sturgill,1478
Bannock,UNITED STATES SENATOR,NA,REP,Mike Crapo,4807
Bannock,UNITED STATES REPRESENTATIVE,1,DEM,Shizandra Fox,NA
Bannock,UNITED STATES REPRESENTATIVE,1,DEM,Staniela Nikolova,NA
Bannock,UNITED STATES REPRESENTATIVE,1,DEM,James Piotrowski,NA
Bannock,UNITED STATES REPRESENTATIVE,1,REP,Gordon Counsil,NA
Bannock,UNITED STATES REPRESENTATIVE,1,REP,Isaac M. Haugen,NA
Bannock,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,NA
Bannock,UNITED STATES REPRESENTATIVE,2,CON,Anthony Tomkins,11
Bannock,UNITED STATES REPRESENTATIVE,2,DEM,Jennifer Martinez,1484
Bannock,UNITED STATES REPRESENTATIVE,2,REP,Lisa Marie,1611
Bannock,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,3660
Bear Lake,UNITED STATES SENATOR,NA,CON,Pro-Life,2
Bear Lake,UNITED STATES SENATOR,NA,CON,Ray J. Writz,2
Bear Lake,UNITED STATES SENATOR,NA,DEM,Jerry Sturgill,18
Bear Lake,UNITED STATES SENATOR,NA,REP,Mike Crapo,1771
Bear Lake,UNITED STATES REPRESENTATIVE,1,DEM,Shizandra Fox,NA
Bear Lake,UNITED STATES REPRESENTATIVE,1,DEM,Staniela Nikolova,NA
Bear Lake,UNITED STATES REPRESENTATIVE,1,DEM,James Piotrowski,NA
Bear Lake,UNITED STATES REPRESENTATIVE,1,REP,Gordon Counsil,NA
Bear Lake,UNITED STATES REPRESENTATIVE,1,REP,Isaac M. Haugen,NA
Bear Lake,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,NA
Bear Lake,UNITED STATES REPRESENTATIVE,2,CON,Anthony Tomkins,3
Bear Lake,UNITED STATES REPRESENTATIVE,2,DEM,Jennifer Martinez,18
Bear Lake,UNITED STATES REPRESENTATIVE,2,REP,Lisa Marie,441
Bear Lake,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,1373
Benewah,UNITED STATES SENATOR,NA,CON,Pro-Life,1
Benewah,UNITED STATES SENATOR,NA,CON,Ray J. Writz,0
Benewah,UNITED STATES SENATOR,NA,DEM,Jerry Sturgill,166
Benewah,UNITED STATES SENATOR,NA,REP,Mike Crapo,542
Benewah,UNITED STATES REPRESENTATIVE,1,DEM,Shizandra Fox,59
Benewah,UNITED STATES REPRESENTATIVE,1,DEM,Staniela Nikolova,25
Benewah,UNITED STATES REPRESENTATIVE,1,DEM,James Piotrowski,64
Benewah,UNITED STATES REPRESENTATIVE,1,REP,Gordon Counsil,43
Benewah,UNITED STATES REPRESENTATIVE,1,REP,Isaac M. Haugen,43
Benewah,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,515
Benewah,UNITED STATES REPRESENTATIVE,2,CON,Anthony Tomkins,NA
Benewah,UNITED STATES REPRESENTATIVE,2,DEM,Jennifer Martinez,NA
Benewah,UNITED STATES REPRESENTATIVE,2,REP,Lisa Marie,NA
Benewah,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,NA
Bingham,UNITED STATES SENATOR,NA,CON,Pro-Life,0
Bingham,UNITED STATES SENATOR,NA,CON,Ray J. Writz,2
Bingham,UNITED STATES SENATOR,NA,DEM,Jerry Sturgill,211
Bingham,UNITED STATES SENATOR,NA,REP,Mike Crapo,2527
Bingham,UNITED STATES REPRESENTATIVE,1,DEM,Shizandra Fox,NA
Bingham,UNITED STATES REPRESENTATIVE,1,DEM,Staniela Nikolova,NA
Bingham,UNITED STATES REPRESENTATIVE,1,DEM,James Piotrowski,NA
Bingham,UNITED STATES REPRESENTATIVE,1,REP,Gordon Counsil,NA
Bingham,UNITED STATES REPRESENTATIVE,1,REP,Isaac M. Haugen,NA
Bingham,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,NA
Bingham,UNITED STATES REPRESENTATIVE,2,CON,Anthony Tomkins,2
Bingham,UNITED STATES REPRESENTATIVE,2,DEM,Jennifer Martinez,210
Bingham,UNITED STATES REPRESENTATIVE,2,REP,Lisa Marie,857
Bingham,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,1894
Blaine,UNITED STATES SENATOR,NA,CON,Pro-Life,0
Blaine,UNITED STATES SENATOR,NA,CON,Ray J. Writz,1
Blaine,UNITED STATES SENATOR,NA,DEM,Jerry Sturgill,1644
Blaine,UNITED STATES SENATOR,NA,REP,Mike Crapo,508
Blaine,UNITED STATES REPRESENTATIVE,1,DEM,Shizandra Fox,NA
Blaine,UNITED STATES REPRESENTATIVE,1,DEM,Staniela Nikolova,NA
Blaine,UNITED STATES REPRESENTATIVE,1,DEM,James Piotrowski,NA
Blaine,UNITED STATES REPRESENTATIVE,1,REP,Gordon Counsil,NA
Blaine,UNITED STATES REPRESENTATIVE,1,REP,Isaac M. Haugen,NA
Blaine,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,NA
Blaine,UNITED STATES REPRESENTATIVE,2,CON,Anthony Tomkins,1
Blaine,UNITED STATES REPRESENTATIVE,2,DEM,Jennifer Martinez,1644
Blaine,UNITED STATES REPRESENTATIVE,2,REP,Lisa Marie,79
Blaine,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,445
Boise,UNITED STATES SENATOR,NA,CON,Pro-Life,1
Boise,UNITED STATES SENATOR,NA,CON,Ray J. Writz,6
Boise,UNITED STATES SENATOR,NA,DEM,Jerry Sturgill,107
Boise,UNITED STATES SENATOR,NA,REP,Mike Crapo,1241
Boise,UNITED STATES REPRESENTATIVE,1,DEM,Shizandra Fox,40
Boise,UNITED STATES REPRESENTATIVE,1,DEM,Staniela Nikolova,18
Boise,UNITED STATES REPRESENTATIVE,1,DEM,James Piotrowski,49
Boise,UNITED STATES REPRESENTATIVE,1,REP,Gordon Counsil,174
Boise,UNITED STATES REPRESENTATIVE,1,REP,Isaac M. Haugen,127
Boise,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,1037
Boise,UNITED STATES REPRESENTATIVE,2,CON,Anthony Tomkins,NA
Boise,UNITED STATES REPRESENTATIVE,2,DEM,Jennifer Martinez,NA
Boise,UNITED STATES REPRESENTATIVE,2,REP,Lisa Marie,NA
Boise,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,NA
Bonner,UNITED STATES SENATOR,NA,CON,Pro-Life,4
Bonner,UNITED STATES SENATOR,NA,CON,Ray J. Writz,9
Bonner,UNITED STATES SENATOR,NA,DEM,Jerry Sturgill,730
Bonner,UNITED STATES SENATOR,NA,REP,Mike Crapo,4908
Bonner,UNITED STATES REPRESENTATIVE,1,DEM,Shizandra Fox,188
Bonner,UNITED STATES REPRESENTATIVE,1,DEM,Staniela Nikolova,116
Bonner,UNITED STATES REPRESENTATIVE,1,DEM,James Piotrowski,396
Bonner,UNITED STATES REPRESENTATIVE,1,REP,Gordon Counsil,573
Bonner,UNITED STATES REPRESENTATIVE,1,REP,Isaac M. Haugen,560
Bonner,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,4024
Bonner,UNITED STATES REPRESENTATIVE,2,CON,Anthony Tomkins,NA
Bonner,UNITED STATES REPRESENTATIVE,2,DEM,Jennifer Martinez,NA
Bonner,UNITED STATES REPRESENTATIVE,2,REP,Lisa Marie,NA
Bonner,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,NA
Bonneville,UNITED STATES SENATOR,NA,CON,Pro-Life,3
Bonneville,UNITED STATES SENATOR,NA,CON,Ray J. Writz,5
Bonneville,UNITED STATES SENATOR,NA,DEM,Jerry Sturgill,536
Bonneville,UNITED STATES SENATOR,NA,REP,Mike Crapo,6949
Bonneville,UNITED STATES REPRESENTATIVE,1,DEM,Shizandra Fox,NA
Bonneville,UNITED STATES REPRESENTATIVE,1,DEM,Staniela Nikolova,NA
Bonneville,UNITED STATES REPRESENTATIVE,1,DEM,James Piotrowski,NA
Bonneville,UNITED STATES REPRESENTATIVE,1,REP,Gordon Counsil,NA
Bonneville,UNITED STATES REPRESENTATIVE,1,REP,Isaac M. Haugen,NA
Bonneville,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,NA
Bonneville,UNITED STATES REPRESENTATIVE,2,CON,Anthony Tomkins,9
Bonneville,UNITED STATES REPRESENTATIVE,2,DEM,Jennifer Martinez,532
Bonneville,UNITED STATES REPRESENTATIVE,2,REP,Lisa Marie,1982
Bonneville,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,5721
Boundary,UNITED STATES SENATOR,NA,CON,Pro-Life,1
Boundary,UNITED STATES SENATOR,NA,CON,Ray J. Writz,4
Boundary,UNITED STATES SENATOR,NA,DEM,Jerry Sturgill,164
Boundary,UNITED STATES SENATOR,NA,REP,Mike Crapo,1900
Boundary,UNITED STATES REPRESENTATIVE,1,DEM,Shizandra Fox,59
Boundary,UNITED STATES REPRESENTATIVE,1,DEM,Staniela Nikolova,19
Boundary,UNITED STATES REPRESENTATIVE,1,DEM,James Piotrowski,77
Boundary,UNITED STATES REPRESENTATIVE,1,REP,Gordon Counsil,154
Boundary,UNITED STATES REPRESENTATIVE,1,REP,Isaac M. Haugen,203
Boundary,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,1610
Boundary,UNITED STATES REPRESENTATIVE,2,CON,Anthony Tomkins,NA
Boundary,UNITED STATES REPRESENTATIVE,2,DEM,Jennifer Martinez,NA
Boundary,UNITED STATES REPRESENTATIVE,2,REP,Lisa Marie,NA
Boundary,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,NA
Butte,UNITED STATES SENATOR,NA,CON,Pro-Life,1
Butte,UNITED STATES SENATOR,NA,CON,Ray J. Writz,0
Butte,UNITED STATES SENATOR,NA,DEM,Jerry Sturgill,26
Butte,UNITED STATES SENATOR,NA,REP,Mike Crapo,436
Butte,UNITED STATES REPRESENTATIVE,1,DEM,Shizandra Fox,NA
Butte,UNITED STATES REPRESENTATIVE,1,DEM,Staniela Nikolova,NA
Butte,UNITED STATES REPRESENTATIVE,1,DEM,James Piotrowski,NA
Butte,UNITED STATES REPRESENTATIVE,1,REP,Gordon Counsil,NA
Butte,UNITED STATES REPRESENTATIVE,1,REP,Isaac M. Haugen,NA
Butte,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,NA
Butte,UNITED STATES REPRESENTATIVE,2,CON,Anthony Tomkins,0
Butte,UNITED STATES REPRESENTATIVE,2,DEM,Jennifer Martinez,27
Butte,UNITED STATES REPRESENTATIVE,2,REP,Lisa Marie,139
Butte,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,328
Camas,UNITED STATES SENATOR,NA,CON,Pro-Life,0
Camas,UNITED STATES SENATOR,NA,CON,Ray J. Writz,0
Camas,UNITED STATES SENATOR,NA,DEM,Jerry Sturgill,14
Camas,UNITED STATES SENATOR,NA,REP,Mike Crapo,208
Camas,UNITED STATES REPRESENTATIVE,1,DEM,Shizandra Fox,NA
Camas,UNITED STATES REPRESENTATIVE,1,DEM,Staniela Nikolova,NA
Camas,UNITED STATES REPRESENTATIVE,1,DEM,James Piotrowski,NA
Camas,UNITED STATES REPRESENTATIVE,1,REP,Gordon Counsil,NA
Camas,UNITED STATES REPRESENTATIVE,1,REP,Isaac M. Haugen,NA
Camas,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,NA
Camas,UNITED STATES REPRESENTATIVE,2,CON,Anthony Tomkins,0
Camas,UNITED STATES REPRESENTATIVE,2,DEM,Jennifer Martinez,14
Camas,UNITED STATES REPRESENTATIVE,2,REP,Lisa Marie,61
Camas,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,161
Canyon,UNITED STATES SENATOR,NA,CON,Pro-Life,8
Canyon,UNITED STATES SENATOR,NA,CON,Ray J. Writz,14
Canyon,UNITED STATES SENATOR,NA,DEM,Jerry Sturgill,1447
Canyon,UNITED STATES SENATOR,NA,REP,Mike Crapo,11288
Canyon,UNITED STATES REPRESENTATIVE,1,DEM,Shizandra Fox,423
Canyon,UNITED STATES REPRESENTATIVE,1,DEM,Staniela Nikolova,253
Canyon,UNITED STATES REPRESENTATIVE,1,DEM,James Piotrowski,793
Canyon,UNITED STATES REPRESENTATIVE,1,REP,Gordon Counsil,1406
Canyon,UNITED STATES REPRESENTATIVE,1,REP,Isaac M. Haugen,920
Canyon,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,9856
Canyon,UNITED STATES REPRESENTATIVE,2,CON,Anthony Tomkins,NA
Canyon,UNITED STATES REPRESENTATIVE,2,DEM,Jennifer Martinez,NA
Canyon,UNITED STATES REPRESENTATIVE,2,REP,Lisa Marie,NA
Canyon,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,NA
Caribou,UNITED STATES SENATOR,NA,CON,Pro-Life,0
Caribou,UNITED STATES SENATOR,NA,CON,Ray J. Writz,1
Caribou,UNITED STATES SENATOR,NA,DEM,Jerry Sturgill,19
Caribou,UNITED STATES SENATOR,NA,REP,Mike Crapo,1371
Caribou,UNITED STATES REPRESENTATIVE,1,DEM,Shizandra Fox,NA
Caribou,UNITED STATES REPRESENTATIVE,1,DEM,Staniela Nikolova,NA
Caribou,UNITED STATES REPRESENTATIVE,1,DEM,James Piotrowski,NA
Caribou,UNITED STATES REPRESENTATIVE,1,REP,Gordon Counsil,NA
Caribou,UNITED STATES REPRESENTATIVE,1,REP,Isaac M. Haugen,NA
Caribou,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,NA
Caribou,UNITED STATES REPRESENTATIVE,2,CON,Anthony Tomkins,1
Caribou,UNITED STATES REPRESENTATIVE,2,DEM,Jennifer Martinez,19
Caribou,UNITED STATES REPRESENTATIVE,2,REP,Lisa Marie,331
Caribou,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,1099
Cassia,UNITED STATES SENATOR,NA,CON,Pro-Life,0
Cassia,UNITED STATES SENATOR,NA,CON,Ray J. Writz,1
Cassia,UNITED STATES SENATOR,NA,DEM,Jerry Sturgill,55
Cassia,UNITED STATES SENATOR,NA,REP,Mike Crapo,2957
Cassia,UNITED STATES REPRESENTATIVE,1,DEM,Shizandra Fox,NA
Cassia,UNITED STATES REPRESENTATIVE,1,DEM,Staniela Nikolova,NA
Cassia,UNITED STATES REPRESENTATIVE,1,DEM,James Piotrowski,NA
Cassia,UNITED STATES REPRESENTATIVE,1,REP,Gordon Counsil,NA
Cassia,UNITED STATES REPRESENTATIVE,1,REP,Isaac M. Haugen,NA
Cassia,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,NA
Cassia,UNITED STATES REPRESENTATIVE,2,CON,Anthony Tomkins,1
Cassia,UNITED STATES REPRESENTATIVE,2,DEM,Jennifer Martinez,55
Cassia,UNITED STATES REPRESENTATIVE,2,REP,Lisa Marie,876
Cassia,UNITED STATES REPRESENTATIVE,2,REP,Mike Simpson,2257
Clark,UNITED STATES SENATOR,NA,CON,Pro-Life,0
Clark,UNITED STATES SENATOR,NA,CON,Ray J. Writz,1
Clark,UNITED STATES SENATOR,NA,DEM,Jerry Sturgill,7
Clark,UNITED STATES SENATOR,NA,REP,Mike Crapo,171
Clark,UNITED STATES REPRESENTATIVE,1,DEM,Shizandra Fox,NA
Clark,UNITED STATES REPRESENTATIVE,1,DEM,Staniela Nikolova,NA
Clark,UNITED STATES REPRESENTATIVE,1,DEM,James Piotrowski,NA
Clark,UNITED STATES REPRESENTATIVE,1,REP,Gordon Counsil,NA
Clark,UNITED STATES REPRESENTATIVE,1,REP,Isaac M. Haugen,NA
Clark,UNITED STATES REPRESENTATIVE,1,REP,Raul R. Labrador,NA
Clark,UNITED STATES REPRESENTATIVE,2,CON,Anthony Tomkins,1
Clark,UNITED STATES REPRESENTATIVE,2,DEM,Jennifer Martinez,7
