county,office,district,party,candidate,votes
Ada,U.S. Senate,NA,REP,Mike Crapo,60833
Adams,U.S. Senate,NA,REP,Mike Crapo,1217
Bannock,U.S. Senate,NA,REP,Mike Crapo,14055
Bear Lake,U.S. Senate,NA,REP,Mike Crapo,1563
Benewah,U.S. Senate,NA,REP,Mike Crapo,1980
Bingham,U.S. Senate,NA,REP,Mike Crapo,8741
Blaine,U.S. Senate,NA,REP,Mike Crapo,2667
Boise,U.S. Senate,NA,REP,Mike Crapo,1561
Bonner,U.S. Senate,NA,REP,Mike Crapo,7038
Bonneville,U.S. Senate,NA,REP,Mike Crapo,20011
Boundary,U.S. Senate,NA,REP,Mike Crapo,2063
Butte,U.S. Senate,NA,REP,Mike Crapo,808
Camas,U.S. Senate,NA,REP,Mike Crapo,325
Canyon,U.S. Senate,NA,REP,Mike Crapo,23531
Caribou,U.S. Senate,NA,REP,Mike Crapo,1924
Cassia,U.S. Senate,NA,REP,Mike Crapo,4798
Clark,U.S. Senate,NA,REP,Mike Crapo,312
Clearwater,U.S. Senate,NA,REP,Mike Crapo,1898
Custer,U.S. Senate,NA,REP,Mike Crapo,1200
Elmore,U.S. Senate,NA,REP,Mike Crapo,3746
Franklin,U.S. Senate,NA,REP,Mike Crapo,2805
Fremont,U.S. Senate,NA,REP,Mike Crapo,3315
Gem,U.S. Senate,NA,REP,Mike Crapo,3438
Gooding,U.S. Senate,NA,REP,Mike Crapo,2953
Idaho,U.S. Senate,NA,REP,Mike Crapo,4223
Jefferson,U.S. Senate,NA,REP,Mike Crapo,5039
Jerome,U.S. Senate,NA,REP,Mike Crapo,3673
Kootenai,U.S. Senate,NA,REP,Mike Crapo,20000
Latah,U.S. Senate,NA,REP,Mike Crapo,6538
Lemhi,U.S. Senate,NA,REP,Mike Crapo,2668
Lewis,U.S. Senate,NA,REP,Mike Crapo,901
Lincoln,U.S. Senate,NA,REP,Mike Crapo,859
Madison,U.S. Senate,NA,REP,Mike Crapo,5855
Minidoka,U.S. Senate,NA,REP,Mike Crapo,4146
Nez Perce,U.S. Senate,NA,REP,Mike Crapo,7630
Oneida,U.S. Senate,NA,REP,Mike Crapo,965
Owyhee,U.S. Senate,NA,REP,Mike Crapo,2004
Payette,U.S. Senate,NA,REP,Mike Crapo,3822
Power,U.S. Senate,NA,REP,Mike Crapo,1484
Shoshone,U.S. Senate,NA,REP,Mike Crapo,2080
Teton,U.S. Senate,NA,REP,Mike Crapo,1242
Twin Falls,U.S. Senate,NA,REP,Mike Crapo,12461
Valley,U.S. Senate,NA,REP,Mike Crapo,2158
Washington,U.S. Senate,NA,REP,Mike Crapo,2436
NA,U.S. Senate,NA,REP,Mike Crapo,NA
Ada,U.S. Senate,NA,NAT,George J. Mansfeld,1700
Adams,U.S. Senate,NA,NAT,George J. Mansfeld,47
Bannock,U.S. Senate,NA,NAT,George J. Mansfeld,438
