county,office,district,party,candidate,votes
Ada,President,NA,LIB,Harry Browne,955
Adams,President,NA,LIB,Harry Browne,14
Bannock,President,NA,LIB,Harry Browne,180
Bear Lake,President,NA,LIB,Harry Browne,14
Benewah,President,NA,LIB,Harry Browne,43
Bingham,President,NA,LIB,Harry Browne,58
Blaine,President,NA,LIB,Harry Browne,69
Boise,President,NA,LIB,Harry Browne,45
Bonner,President,NA,LIB,Harry Browne,137
Bonneville,President,NA,LIB,Harry Browne,246
Boundary,President,NA,LIB,Harry Browne,53
Butte,President,NA,LIB,Harry Browne,6
Camas,President,NA,LIB,Harry Browne,5
Canyon,President,NA,LIB,Harry Browne,300
Caribou,President,NA,LIB,Harry Browne,12
Cassia,President,NA,LIB,Harry Browne,25
Clark,President,NA,LIB,Harry Browne,1
Clearwater,President,NA,LIB,Harry Browne,28
Custer,President,NA,LIB,Harry Browne,23
Elmore,President,NA,LIB,Harry Browne,31
Franklin,President,NA,LIB,Harry Browne,11
Fremont,President,NA,LIB,Harry Browne,19
Gem,President,NA,LIB,Harry Browne,40
Gooding,President,NA,LIB,Harry Browne,28
Idaho,President,NA,LIB,Harry Browne,69
Jefferson,President,NA,LIB,Harry Browne,29
Jerome,President,NA,LIB,Harry Browne,29
Kootenai,President,NA,LIB,Harry Browne,289
Latah,President,NA,LIB,Harry Browne,176
Lemhi,President,NA,LIB,Harry Browne,26
Lewis,President,NA,LIB,Harry Browne,14
Lincoln,President,NA,LIB,Harry Browne,12
Madison,President,NA,LIB,Harry Browne,17
Minidoka,President,NA,LIB,Harry Browne,43
Nez Perce,President,NA,LIB,Harry Browne,107
Oneida,President,NA,LIB,Harry Browne,7
Owyhee,President,NA,LIB,Harry Browne,11
Payette,President,NA,LIB,Harry Browne,38
Power,President,NA,LIB,Harry Browne,14
Shoshone,President,NA,LIB,Harry Browne,66
Teton,President,NA,LIB,Harry Browne,19
Twin Falls,President,NA,LIB,Harry Browne,123
Valley,President,NA,LIB,Harry Browne,33
Washington,President,NA,LIB,Harry Browne,23
NA,President,NA,LIB,Harry Browne,NA
Ada,President,NA,REF,Pat Buchanan,1463
Adams,President,NA,REF,Pat Buchanan,31
Bannock,President,NA,REF,Pat Buchanan,510
Bear Lake,President,NA,REF,Pat Buchanan,50
Benewah,President,NA,REF,Pat Buchanan,60
Bingham,President,NA,REF,Pat Buchanan,327
Blaine,President,NA,REF,Pat Buchanan,56
Boise,President,NA,REF,Pat Buchanan,93
Bonner,President,NA,REF,Pat Buchanan,147
Bonneville,President,NA,REF,Pat Buchanan,583
Boundary,President,NA,REF,Pat Buchanan,47
Butte,President,NA,REF,Pat Buchanan,35
Camas,President,NA,REF,Pat Buchanan,20
Canyon,President,NA,REF,Pat Buchanan,766
Caribou,President,NA,REF,Pat Buchanan,49
Cassia,President,NA,REF,Pat Buchanan,138
