county,office,district,party,candidate,votes
Ada,President,,Republican,Jeb Bush,172
Adams,President,,Republican,Jeb Bush,4
Bannock,President,,Republican,Jeb Bush,34
Bear Lake,President,,Republican,Jeb Bush,14
Benewah,President,,Republican,Jeb Bush,6
Bingham,President,,Republican,Jeb Bush,39
Blaine,President,,Republican,Jeb Bush,11
Boise,President,,Republican,Jeb Bush,7
Bonner,President,,Republican,Jeb Bush,23
Bonneville,President,,Republican,Jeb Bush,59
Boundary,President,,Republican,Jeb Bush,6
Butte,President,,Republican,Jeb Bush,3
Camas,President,,Republican,Jeb Bush,1
Canyon,President,,Republican,Jeb Bush,80
Caribou,President,,Republican,Jeb Bush,12
Cassia,President,,Republican,Jeb Bush,68
Clark,President,,Republican,Jeb Bush,0
Clearwater,President,,Republican,Jeb Bush,4
Custer,President,,Republican,Jeb Bush,8
Elmore,President,,Republican,Jeb Bush,18
Franklin,President,,Republican,Jeb Bush,21
Fremont,President,,Republican,Jeb Bush,10
Gem,President,,Republican,Jeb Bush,10
Gooding,President,,Republican,Jeb Bush,11
Idaho,President,,Republican,Jeb Bush,38
Jefferson,President,,Republican,Jeb Bush,12
Jerome,President,,Republican,Jeb Bush,10
Kootenai,President,,Republican,Jeb Bush,68
Latah,President,,Republican,Jeb Bush,15
Lemhi,President,,Republican,Jeb Bush,8
Lewis,President,,Republican,Jeb Bush,5
Lincoln,President,,Republican,Jeb Bush,3
Madison,President,,Republican,Jeb Bush,22
Minidoka,President,,Republican,Jeb Bush,16
Nez Perce,President,,Republican,Jeb Bush,19
Oneida,President,,Republican,Jeb Bush,2
Owyhee,President,,Republican,Jeb Bush,6
Payette,President,,Republican,Jeb Bush,13
Power,President,,Republican,Jeb Bush,8
Shoshone,President,,Republican,Jeb Bush,11
Teton,President,,Republican,Jeb Bush,4
Twin Falls,President,,Republican,Jeb Bush,36
Valley,President,,Republican,Jeb Bush,7
Washington,President,,Republican,Jeb Bush,15
Ada,President,,Republican,Ben Carson,724
Adams,President,,Republican,Ben Carson,5
Bannock,President,,Republican,Ben Carson,160
Bear Lake,President,,Republican,Ben Carson,42
Benewah,President,,Republican,Ben Carson,14
Bingham,President,,Republican,Ben Carson,138
Blaine,President,,Republican,Ben Carson,23
Boise,President,,Republican,Ben Carson,31
Bonner,President,,Republican,Ben Carson,107
Bonneville,President,,Republican,Ben Carson,231
Boundary,President,,Republican,Ben Carson,39
Butte,President,,Republican,Ben Carson,6
