county,office,district,party,candidate,votes
ADA,U.S. President,NA,Dem.,Agran,74
ADAMS,U.S. President,NA,Dem.,Agran,8
BANNOCK,U.S. President,NA,Dem.,Agran,93
BEAR LAKE,U.S. President,NA,Dem.,Agran,4
BENEWAH,U.S. President,NA,Dem.,Agran,10
BINGHAM,U.S. President,NA,Dem.,Agran,26
BLAINE,U.S. President,NA,Dem.,Agran,5
BOISE,U.S. President,NA,Dem.,Agran,4
BONNER,U.S. President,NA,Dem.,Agran,40
BONNEVILLE,U.S. President,NA,Dem.,Agran,32
BOUNDARY,U.S. President,NA,Dem.,Agran,5
BUTTE,U.S. President,NA,Dem.,Agran,6
CAMAS,U.S. President,NA,Dem.,Agran,1
CANYON,U.S. President,NA,Dem.,Agran,42
CARIBOU,U.S. President,NA,Dem.,Agran,7
CASSIA,U.S. President,NA,Dem.,Agran,8
CLARK,U.S. President,NA,Dem.,Agran,0
CLEARWATER,U.S. President,NA,Dem.,Agran,13
CUSTER,U.S. President,NA,Dem.,Agran,2
ELMORE,U.S. President,NA,Dem.,Agran,10
FRANKLIN,U.S. President,NA,Dem.,Agran,11
FREMONT,U.S. President,NA,Dem.,Agran,17
GEM,U.S. President,NA,Dem.,Agran,8
GOODING,U.S. President,NA,Dem.,Agran,6
IDAHO,U.S. President,NA,Dem.,Agran,24
JEFFERSON,U.S. President,NA,Dem.,Agran,11
JEROME,U.S. President,NA,Dem.,Agran,5
KOOTENAI,U.S. President,NA,Dem.,Agran,37
LATAH,U.S. President,NA,Dem.,Agran,193
LEMHI,U.S. President,NA,Dem.,Agran,5
LEWIS,U.S. President,NA,Dem.,Agran,10
LINCOLN,U.S. President,NA,Dem.,Agran,4
MADISON,U.S. President,NA,Dem.,Agran,9
MINIDOKA,U.S. President,NA,Dem.,Agran,19
NEZ PERCE,U.S. President,NA,Dem.,Agran,31
ONEIDA,U.S. President,NA,Dem.,Agran,6
OWYHEE,U.S. President,NA,Dem.,Agran,5
PAYETTE,U.S. President,NA,Dem.,Agran,6
POWER,U.S. President,NA,Dem.,Agran,5
SHOSHONE,U.S. President,NA,Dem.,Agran,34
TETON,U.S. President,NA,Dem.,Agran,4
TWIN FALLS,U.S. President,NA,Dem.,Agran,21
VALLEY,U.S. President,NA,Dem.,Agran,3
WASHINGTON,U.S. President,NA,Dem.,Agran,4
ADA,U.S. President,NA,Dem.,Brown,1670
ADAMS,U.S. President,NA,Dem.,Brown,34
BANNOCK,U.S. President,NA,Dem.,Brown,826
BEAR LAKE,U.S. President,NA,Dem.,Brown,41
BENEWAH,U.S. President,NA,Dem.,Brown,125
BINGHAM,U.S. President,NA,Dem.,Brown,213
