county,office,district,candidate,party,early_voting,mail,election_day,votes
ADA,President,,Don Blankenship,CON,4,3,35,42
ADA,President,,Daniel Clyde Cummings,CON,3,0,15,18
ADA,President,,Don J. Grundmann,CON,1,0,22,23
ADA,President,,Charles Kraut,CON,0,0,21,21
ADA,President,,J.R. Myers,CON,1,2,19,22
ADA,President,,"Sheila ""Samm"" Tittle",CON,2,2,49,53
ADA,President,,Michael Bennet,DEM,4,1,27,32
ADA,President,,Joseph R. Biden,DEM,2521,958,19225,22704
ADA,President,,Michael R. Bloomberg,DEM,424,225,145,794
ADA,President,,Cory Booker,DEM,3,0,5,8
ADA,President,,Steve Burke,DEM,0,0,2,2
ADA,President,,Pete Buttigieg,DEM,295,172,105,572
ADA,President,,Julian Castro,DEM,1,1,3,5
ADA,President,,Roque De La Fuente,DEM,0,0,3,3
ADA,President,,John K. Delaney,DEM,0,0,5,5
ADA,President,,Tulsi Gabbard,DEM,16,12,283,311
ADA,President,,Amy Klobuchar,DEM,114,88,62,264
ADA,President,,Deval Patrick,DEM,1,1,0,2
ADA,President,,Bernie Sanders,DEM,2243,465,18653,21361
ADA,President,,Tom Steyer,DEM,8,6,11,25
ADA,President,,Elizabeth Warren,DEM,608,226,455,1289
ADA,President,,Marianne Williamson,DEM,2,0,12,14
ADA,President,,Andrew Yang,DEM,22,14,92,128
ADA,President,,"Roque ""Rocky"" De La Fuente",REP,11,6,78,95
ADA,President,,Bob Ely,REP,13,5,47,65
ADA,President,,Matthew John Matern,REP,14,8,73,95
ADA,President,,Donald J Trump,REP,2490,1404,15957,19851
ADA,President,,Joe Walsh,REP,59,33,346,438
ADA,President,,Bill Weld,REP,79,69,607,755
ADAMS,President,,Don Blankenship,,0,0,1,1
ADAMS,President,,Daniel Clyde Cummings,,0,0,1,1
ADAMS,President,,Don J. Grundmann,,0,0,0,0
ADAMS,President,,Charles Kraut,,0,0,1,1
ADAMS,President,,J.R. Myers,,0,0,2,2
ADAMS,President,,"Sheila ""Samm"" Tittle",,0,0,3,3
ADAMS,President,,Michael Bennet,,0,0,0,0
ADAMS,President,,Joseph R. Biden,,0,0,133,133
ADAMS,President,,Michael R. Bloomberg,,0,0,2,2
ADAMS,President,,Cory Booker,,0,0,0,0
ADAMS,President,,Steve Burke,,0,0,0,0
ADAMS,President,,Pete Buttigieg,,0,0,3,3
ADAMS,President,,Julian Castro,,0,0,0,0
ADAMS,President,,Roque De La Fuente,,0,0,0,0
ADAMS,President,,John K. Delaney,,0,0,1,1
ADAMS,President,,Tulsi Gabbard,,0,0,3,3
ADAMS,President,,Amy Klobuchar,,0,0,7,7
ADAMS,President,,Deval Patrick,,0,0,0,0
ADAMS,President,,Bernie Sanders,,0,0,77,77
ADAMS,President,,Tom Steyer,,0,0,0,0
ADAMS,President,,Elizabeth Warren,,0,0,8,8
ADAMS,President,,Marianne Williamson,,0,0,0,0
ADAMS,President,,Andrew Yang,,0,0,0,0
ADAMS,President,,"Roque ""Rocky"" De La Fuente",,0,0,2,2
ADAMS,President,,Bob Ely,,0,0,3,3
ADAMS,President,,Matthew John Matern,,0,0,3,3
ADAMS,President,,Donald J Trump,,0,0,656,656
ADAMS,President,,Joe Walsh,,0,0,19,19
ADAMS,President,,Bill Weld,,0,0,8,8
BANNOCK,President,,"Roque ""Rocky"" De La Fuente",REP,0,0,28,28
BANNOCK,President,,Bob Ely,REP,0,0,24,24
BANNOCK,President,,Matthew John Matern,REP,0,0,35,35
BANNOCK,President,,Donald J Trump,REP,0,0,4597,4597
BANNOCK,President,,Joe Walsh,REP,0,0,140,140
BANNOCK,President,,Bill Weld,REP,0,0,82,82
BANNOCK,President,,Michael Bennet,DEM,0,0,3,3
BANNOCK,President,,Joseph R. Biden,DEM,0,0,2874,2874
BANNOCK,President,,Michael R. Bloomberg,DEM,0,0,209,209
BANNOCK,President,,Cory Booker,DEM,0,0,5,5
BANNOCK,President,,Steve Burke,DEM,0,0,6,6
BANNOCK,President,,Pete Buttigieg,DEM,0,0,108,108
BANNOCK,President,,Julian Castro,DEM,0,0,4,4
BANNOCK,President,,Roque De La Fuente,DEM,0,0,2,2
BANNOCK,President,,John K. Delaney,DEM,0,0,5,5
BANNOCK,President,,Tulsi Gabbard,DEM,0,0,62,62
BANNOCK,President,,Amy Klobuchar,DEM,0,0,46,46
BANNOCK,President,,Deval Patrick,DEM,0,0,1,1
BANNOCK,President,,Bernie Sanders,DEM,0,0,2821,2821
BANNOCK,President,,Tom Steyer,DEM,0,0,10,10
BANNOCK,President,,Elizabeth Warren,DEM,0,0,159,159
BANNOCK,President,,Marianne Williamson,DEM,0,0,2,2
BANNOCK,President,,Andrew Yang,DEM,0,0,12,12
BANNOCK,President,,Don Blankenship,CON,0,0,6,6
BANNOCK,President,,Daniel Clyde Cummings,CON,0,0,5,5
BANNOCK,President,,Don J. Grundmann,CON,0,0,0,0
BANNOCK,President,,Charles Kraut,CON,0,0,0,0
BANNOCK,President,,J.R. Myers,CON,0,0,8,8
BANNOCK,President,,"Sheila ""Samm"" Tittle",CON,0,0,5,5
BEAR LAKE,President,,"Roque ""Rocky"" De La Fuente",,0,0,6,6
BEAR LAKE,President,,Bob Ely,,0,0,3,3
BEAR LAKE,President,,Matthew John Matern,,0,0,10,10
BEAR LAKE,President,,Donald J Trump,,0,0,940,940
BEAR LAKE,President,,Joe Walsh,,0,0,29,29
BEAR LAKE,President,,Bill Weld,,0,0,12,12
BEAR LAKE,President,,Michael Bennet,,0,0,0,0
BEAR LAKE,President,,Joseph R. Biden,,0,0,87,87
BEAR LAKE,President,,Michael R. Bloomberg,,0,0,5,5
BEAR LAKE,President,,Cory Booker,,0,0,0,0
BEAR LAKE,President,,Steve Burke,,0,0,1,1
BEAR LAKE,President,,Pete Buttigieg,,0,0,3,3
BEAR LAKE,President,,Julian Castro,,0,0,0,0
BEAR LAKE,President,,Roque De La Fuente,,0,0,0,0
BEAR LAKE,President,,John K. Delaney,,0,0,0,0
BEAR LAKE,President,,Tulsi Gabbard,,0,0,1,1
BEAR LAKE,President,,Amy Klobuchar,,0,0,8,8
BEAR LAKE,President,,Deval Patrick,,0,0,0,0
BEAR LAKE,President,,Bernie Sanders,,0,0,27,27
BEAR LAKE,President,,Tom Steyer,,0,0,2,2
BEAR LAKE,President,,Elizabeth Warren,,0,0,3,3
BEAR LAKE,President,,Marianne Williamson,,0,0,0,0
BEAR LAKE,President,,Andrew Yang,,0,0,0,0
