county,office,district,party,candidate,votes
Ada,President,NA,Dem.,John Kerry,6359
Adams,President,NA,Dem.,John Kerry,64
Bannock,President,NA,Dem.,John Kerry,2255
Bear Lake,President,NA,Dem.,John Kerry,62
Benewah,President,NA,Dem.,John Kerry,392
Bingham,President,NA,Dem.,John Kerry,376
Blaine,President,NA,Dem.,John Kerry,1771
Boise,President,NA,Dem.,John Kerry,98
Bonner,President,NA,Dem.,John Kerry,1412
Bonneville,President,NA,Dem.,John Kerry,711
Boundary,President,NA,Dem.,John Kerry,163
Butte,President,NA,Dem.,John Kerry,52
Camas,President,NA,Dem.,John Kerry,24
Canyon,President,NA,Dem.,John Kerry,1308
Caribou,President,NA,Dem.,John Kerry,97
Cassia,President,NA,Dem.,John Kerry,123
Clark,President,NA,Dem.,John Kerry,6
Clearwater,President,NA,Dem.,John Kerry,418
Custer,President,NA,Dem.,John Kerry,89
Elmore,President,NA,Dem.,John Kerry,260
Franklin,President,NA,Dem.,John Kerry,39
Fremont,President,NA,Dem.,John Kerry,73
Gem,President,NA,Dem.,John Kerry,212
Gooding,President,NA,Dem.,John Kerry,185
Idaho,President,NA,Dem.,John Kerry,529
Jefferson,President,NA,Dem.,John Kerry,109
Jerome,President,NA,Dem.,John Kerry,169
Kootenai,President,NA,Dem.,John Kerry,2107
Latah,President,NA,Dem.,John Kerry,979
Lemhi,President,NA,Dem.,John Kerry,74
Lewis,President,NA,Dem.,John Kerry,159
Lincoln,President,NA,Dem.,John Kerry,94
Madison,President,NA,Dem.,John Kerry,55
Minidoka,President,NA,Dem.,John Kerry,182
Nez Perce,President,NA,Dem.,John Kerry,1936
Oneida,President,NA,Dem.,John Kerry,44
Owyhee,President,NA,Dem.,John Kerry,92
Payette,President,NA,Dem.,John Kerry,241
Power,President,NA,Dem.,John Kerry,130
Shoshone,President,NA,Dem.,John Kerry,1358
Teton,President,NA,Dem.,John Kerry,214
Twin Falls,President,NA,Dem.,John Kerry,590
Valley,President,NA,Dem.,John Kerry,137
Washington,President,NA,Dem.,John Kerry,173
Ada,President,NA,Dem.,Dennis Kucinich,475
Adams,President,NA,Dem.,Dennis Kucinich,5
Bannock,President,NA,Dem.,Dennis Kucinich,105
Bear Lake,President,NA,Dem.,Dennis Kucinich,1
Benewah,President,NA,Dem.,Dennis Kucinich,28
Bingham,President,NA,Dem.,Dennis Kucinich,22
Blaine,President,NA,Dem.,Dennis Kucinich,80
Boise,President,NA,Dem.,Dennis Kucinich,6
Bonner,President,NA,Dem.,Dennis Kucinich,152
Bonneville,President,NA,Dem.,Dennis Kucinich,33
Boundary,President,NA,Dem.,Dennis Kucinich,21
Butte,President,NA,Dem.,Dennis Kucinich,4
Camas,President,NA,Dem.,Dennis Kucinich,1
Canyon,President,NA,Dem.,Dennis Kucinich,52
Caribou,President,NA,Dem.,Dennis Kucinich,4
Cassia,President,NA,Dem.,Dennis Kucinich,11
Clark,President,NA,Dem.,Dennis Kucinich,0
Clearwater,President,NA,Dem.,Dennis Kucinich,22
Custer,President,NA,Dem.,Dennis Kucinich,7
Elmore,President,NA,Dem.,Dennis Kucinich,14
Franklin,President,NA,Dem.,Dennis Kucinich,2
Fremont,President,NA,Dem.,Dennis Kucinich,4
Gem,President,NA,Dem.,Dennis Kucinich,12
Gooding,President,NA,Dem.,Dennis Kucinich,5
Idaho,President,NA,Dem.,Dennis Kucinich,32
Jefferson,President,NA,Dem.,Dennis Kucinich,5
Jerome,President,NA,Dem.,Dennis Kucinich,9
Kootenai,President,NA,Dem.,Dennis Kucinich,77
Latah,President,NA,Dem.,Dennis Kucinich,121
Lemhi,President,NA,Dem.,Dennis Kucinich,10
Lewis,President,NA,Dem.,Dennis Kucinich,6
Lincoln,President,NA,Dem.,Dennis Kucinich,3
Madison,President,NA,Dem.,Dennis Kucinich,6
Minidoka,President,NA,Dem.,Dennis Kucinich,13
Nez Perce,President,NA,Dem.,Dennis Kucinich,64
Oneida,President,NA,Dem.,Dennis Kucinich,2
Owyhee,President,NA,Dem.,Dennis Kucinich,4
Payette,President,NA,Dem.,Dennis Kucinich,6
Power,President,NA,Dem.,Dennis Kucinich,4
Shoshone,President,NA,Dem.,Dennis Kucinich,84
Teton,President,NA,Dem.,Dennis Kucinich,12
Twin Falls,President,NA,Dem.,Dennis Kucinich,28
Valley,President,NA,Dem.,Dennis Kucinich,12
Washington,President,NA,Dem.,Dennis Kucinich,4
Ada,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",77
Adams,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",0
Bannock,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",44
Bear Lake,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",2
Benewah,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",26
Bingham,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",12
Blaine,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",20
Boise,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",3
Bonner,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",39
Bonneville,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",25
Boundary,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",3
Butte,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",4
Camas,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",14
Canyon,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",26
Caribou,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",7
Cassia,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",10
Clark,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",0
Clearwater,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",16
Custer,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",6
Elmore,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",6
Franklin,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",6
Fremont,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",4
Gem,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",8
Gooding,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",3
Idaho,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",27
Jefferson,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",9
Jerome,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",3
Kootenai,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",30
Latah,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",21
Lemhi,President,NA,Dem.,"Lyndon H. LaRouche, Jr.",6
