book,sheet,county,office,district,party,candidate,votes
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Adams,UNITED STATES SENATOR,NA,CON,Pro-Life,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Bannock,UNITED STATES SENATOR,NA,CON,Pro-Life,8
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Bear Lake,UNITED STATES SENATOR,NA,CON,Pro-Life,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Benewah,UNITED STATES SENATOR,NA,CON,Pro-Life,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Bingham,UNITED STATES SENATOR,NA,CON,Pro-Life,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Blaine,UNITED STATES SENATOR,NA,CON,Pro-Life,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Boise,UNITED STATES SENATOR,NA,CON,Pro-Life,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Bonner,UNITED STATES SENATOR,NA,CON,Pro-Life,4
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Bonneville,UNITED STATES SENATOR,NA,CON,Pro-Life,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Boundary,UNITED STATES SENATOR,NA,CON,Pro-Life,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Butte,UNITED STATES SENATOR,NA,CON,Pro-Life,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Camas,UNITED STATES SENATOR,NA,CON,Pro-Life,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Canyon,UNITED STATES SENATOR,NA,CON,Pro-Life,8
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Caribou,UNITED STATES SENATOR,NA,CON,Pro-Life,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Cassia,UNITED STATES SENATOR,NA,CON,Pro-Life,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Clark,UNITED STATES SENATOR,NA,CON,Pro-Life,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Clearwater,UNITED STATES SENATOR,NA,CON,Pro-Life,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Custer,UNITED STATES SENATOR,NA,CON,Pro-Life,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Elmore,UNITED STATES SENATOR,NA,CON,Pro-Life,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Franklin,UNITED STATES SENATOR,NA,CON,Pro-Life,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Fremont,UNITED STATES SENATOR,NA,CON,Pro-Life,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Gem,UNITED STATES SENATOR,NA,CON,Pro-Life,5
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Gooding,UNITED STATES SENATOR,NA,CON,Pro-Life,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Idaho,UNITED STATES SENATOR,NA,CON,Pro-Life,4
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Jefferson,UNITED STATES SENATOR,NA,CON,Pro-Life,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Jerome,UNITED STATES SENATOR,NA,CON,Pro-Life,5
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Kootenai,UNITED STATES SENATOR,NA,CON,Pro-Life,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Latah,UNITED STATES SENATOR,NA,CON,Pro-Life,6
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Lemhi,UNITED STATES SENATOR,NA,CON,Pro-Life,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Lewis,UNITED STATES SENATOR,NA,CON,Pro-Life,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Lincoln,UNITED STATES SENATOR,NA,CON,Pro-Life,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Madison,UNITED STATES SENATOR,NA,CON,Pro-Life,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Minidoka,UNITED STATES SENATOR,NA,CON,Pro-Life,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Nez Perce,UNITED STATES SENATOR,NA,CON,Pro-Life,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Oneida,UNITED STATES SENATOR,NA,CON,Pro-Life,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Owyhee,UNITED STATES SENATOR,NA,CON,Pro-Life,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Payette,UNITED STATES SENATOR,NA,CON,Pro-Life,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Power,UNITED STATES SENATOR,NA,CON,Pro-Life,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Shoshone,UNITED STATES SENATOR,NA,CON,Pro-Life,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Teton,UNITED STATES SENATOR,NA,CON,Pro-Life,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pri_stwd_cnty.xlsx,Congressional,Twin Falls,UNITED STATES SENATOR,NA,CON,Pro-Life,4
