county,office,district,party,candidate,votes
Ada,President,NA,REP,Jeb Bush,172
Adams,President,NA,REP,Jeb Bush,4
Bannock,President,NA,REP,Jeb Bush,34
Bear Lake,President,NA,REP,Jeb Bush,14
Benewah,President,NA,REP,Jeb Bush,6
Bingham,President,NA,REP,Jeb Bush,39
Blaine,President,NA,REP,Jeb Bush,11
Boise,President,NA,REP,Jeb Bush,7
Bonner,President,NA,REP,Jeb Bush,23
Bonneville,President,NA,REP,Jeb Bush,59
Boundary,President,NA,REP,Jeb Bush,6
Butte,President,NA,REP,Jeb Bush,3
Camas,President,NA,REP,Jeb Bush,1
Canyon,President,NA,REP,Jeb Bush,80
Caribou,President,NA,REP,Jeb Bush,12
Cassia,President,NA,REP,Jeb Bush,68
Clark,President,NA,REP,Jeb Bush,0
Clearwater,President,NA,REP,Jeb Bush,4
Custer,President,NA,REP,Jeb Bush,8
Elmore,President,NA,REP,Jeb Bush,18
Franklin,President,NA,REP,Jeb Bush,21
Fremont,President,NA,REP,Jeb Bush,10
Gem,President,NA,REP,Jeb Bush,10
Gooding,President,NA,REP,Jeb Bush,11
Idaho,President,NA,REP,Jeb Bush,38
Jefferson,President,NA,REP,Jeb Bush,12
Jerome,President,NA,REP,Jeb Bush,10
Kootenai,President,NA,REP,Jeb Bush,68
Latah,President,NA,REP,Jeb Bush,15
Lemhi,President,NA,REP,Jeb Bush,8
Lewis,President,NA,REP,Jeb Bush,5
Lincoln,President,NA,REP,Jeb Bush,3
Madison,President,NA,REP,Jeb Bush,22
Minidoka,President,NA,REP,Jeb Bush,16
Nez Perce,President,NA,REP,Jeb Bush,19
Oneida,President,NA,REP,Jeb Bush,2
Owyhee,President,NA,REP,Jeb Bush,6
Payette,President,NA,REP,Jeb Bush,13
Power,President,NA,REP,Jeb Bush,8
Shoshone,President,NA,REP,Jeb Bush,11
Teton,President,NA,REP,Jeb Bush,4
Twin Falls,President,NA,REP,Jeb Bush,36
Valley,President,NA,REP,Jeb Bush,7
Washington,President,NA,REP,Jeb Bush,15
Ada,President,NA,REP,Ben Carson,724
Adams,President,NA,REP,Ben Carson,5
Bannock,President,NA,REP,Ben Carson,160
Bear Lake,President,NA,REP,Ben Carson,42
Benewah,President,NA,REP,Ben Carson,14
Bingham,President,NA,REP,Ben Carson,138
Blaine,President,NA,REP,Ben Carson,23
Boise,President,NA,REP,Ben Carson,31
Bonner,President,NA,REP,Ben Carson,107
Bonneville,President,NA,REP,Ben Carson,231
Boundary,President,NA,REP,Ben Carson,39
Butte,President,NA,REP,Ben Carson,6
Camas,President,NA,REP,Ben Carson,11
Canyon,President,NA,REP,Ben Carson,410
Caribou,President,NA,REP,Ben Carson,35
Cassia,President,NA,REP,Ben Carson,144
Clark,President,NA,REP,Ben Carson,5
Clearwater,President,NA,REP,Ben Carson,29
Custer,President,NA,REP,Ben Carson,22
Elmore,President,NA,REP,Ben Carson,40
Franklin,President,NA,REP,Ben Carson,66
Fremont,President,NA,REP,Ben Carson,46
Gem,President,NA,REP,Ben Carson,42
Gooding,President,NA,REP,Ben Carson,36
Idaho,President,NA,REP,Ben Carson,134
Jefferson,President,NA,REP,Ben Carson,84
Jerome,President,NA,REP,Ben Carson,36
Kootenai,President,NA,REP,Ben Carson,336
Latah,President,NA,REP,Ben Carson,90
Lemhi,President,NA,REP,Ben Carson,51
Lewis,President,NA,REP,Ben Carson,18
Lincoln,President,NA,REP,Ben Carson,15
Madison,President,NA,REP,Ben Carson,131
Minidoka,President,NA,REP,Ben Carson,43
Nez Perce,President,NA,REP,Ben Carson,93
Oneida,President,NA,REP,Ben Carson,14
Owyhee,President,NA,REP,Ben Carson,15
Payette,President,NA,REP,Ben Carson,55
Power,President,NA,REP,Ben Carson,20
Shoshone,President,NA,REP,Ben Carson,32
Teton,President,NA,REP,Ben Carson,20
Twin Falls,President,NA,REP,Ben Carson,167
Valley,President,NA,REP,Ben Carson,25
Washington,President,NA,REP,Ben Carson,68
Ada,President,NA,REP,Chris Christie,68
Adams,President,NA,REP,Chris Christie,3
Bannock,President,NA,REP,Chris Christie,9
Bear Lake,President,NA,REP,Chris Christie,3
Benewah,President,NA,REP,Chris Christie,3
Bingham,President,NA,REP,Chris Christie,14
Blaine,President,NA,REP,Chris Christie,1
Boise,President,NA,REP,Chris Christie,8
Bonner,President,NA,REP,Chris Christie,14
Bonneville,President,NA,REP,Chris Christie,29
Boundary,President,NA,REP,Chris Christie,3
Butte,President,NA,REP,Chris Christie,0
Camas,President,NA,REP,Chris Christie,1
Canyon,President,NA,REP,Chris Christie,32
Caribou,President,NA,REP,Chris Christie,3
Cassia,President,NA,REP,Chris Christie,12
Clark,President,NA,REP,Chris Christie,1
Clearwater,President,NA,REP,Chris Christie,8
Custer,President,NA,REP,Chris Christie,4
Elmore,President,NA,REP,Chris Christie,6
Franklin,President,NA,REP,Chris Christie,5
Fremont,President,NA,REP,Chris Christie,6
Gem,President,NA,REP,Chris Christie,8
Gooding,President,NA,REP,Chris Christie,3
Idaho,President,NA,REP,Chris Christie,7
Jefferson,President,NA,REP,Chris Christie,5
Jerome,President,NA,REP,Chris Christie,8
Kootenai,President,NA,REP,Chris Christie,23
Latah,President,NA,REP,Chris Christie,9
Lemhi,President,NA,REP,Chris Christie,5
Lewis,President,NA,REP,Chris Christie,2
Lincoln,President,NA,REP,Chris Christie,0
Madison,President,NA,REP,Chris Christie,6
Minidoka,President,NA,REP,Chris Christie,0
Nez Perce,President,NA,REP,Chris Christie,6
Oneida,President,NA,REP,Chris Christie,1
Owyhee,President,NA,REP,Chris Christie,1
Payette,President,NA,REP,Chris Christie,2
Power,President,NA,REP,Chris Christie,0
Shoshone,President,NA,REP,Chris Christie,4
Teton,President,NA,REP,Chris Christie,2
Twin Falls,President,NA,REP,Chris Christie,18
Valley,President,NA,REP,Chris Christie,4
Washington,President,NA,REP,Chris Christie,6
Ada,President,NA,REP,Ted Cruz,20156
Adams,President,NA,REP,Ted Cruz,292
Bannock,President,NA,REP,Ted Cruz,4404
Bear Lake,President,NA,REP,Ted Cruz,643
Benewah,President,NA,REP,Ted Cruz,671
Bingham,President,NA,REP,Ted Cruz,3471
Blaine,President,NA,REP,Ted Cruz,370
Boise,President,NA,REP,Ted Cruz,531
Bonner,President,NA,REP,Ted Cruz,3132
Bonneville,President,NA,REP,Ted Cruz,7794
Boundary,President,NA,REP,Ted Cruz,901
Butte,President,NA,REP,Ted Cruz,275
Camas,President,NA,REP,Ted Cruz,75
Canyon,President,NA,REP,Ted Cruz,11164
Caribou,President,NA,REP,Ted Cruz,602
Cassia,President,NA,REP,Ted Cruz,2095
Clark,President,NA,REP,Ted Cruz,62
Clearwater,President,NA,REP,Ted Cruz,477
Custer,President,NA,REP,Ted Cruz,285
Elmore,President,NA,REP,Ted Cruz,892
Franklin,President,NA,REP,Ted Cruz,1173
Fremont,President,NA,REP,Ted Cruz,1434
Gem,President,NA,REP,Ted Cruz,1391
Gooding,President,NA,REP,Ted Cruz,863
Idaho,President,NA,REP,Ted Cruz,1495
Jefferson,President,NA,REP,Ted Cruz,3080
Jerome,President,NA,REP,Ted Cruz,1164
Kootenai,President,NA,REP,Ted Cruz,11924
Latah,President,NA,REP,Ted Cruz,2102
Lemhi,President,NA,REP,Ted Cruz,597
Lewis,President,NA,REP,Ted Cruz,263
Lincoln,President,NA,REP,Ted Cruz,279
Madison,President,NA,REP,Ted Cruz,4079
Minidoka,President,NA,REP,Ted Cruz,1163
Nez Perce,President,NA,REP,Ted Cruz,1583
Oneida,President,NA,REP,Ted Cruz,473
Owyhee,President,NA,REP,Ted Cruz,717
Payette,President,NA,REP,Ted Cruz,1364
Power,President,NA,REP,Ted Cruz,421
Shoshone,President,NA,REP,Ted Cruz,591
Teton,President,NA,REP,Ted Cruz,465
Twin Falls,President,NA,REP,Ted Cruz,4717
Valley,President,NA,REP,Ted Cruz,476
Washington,President,NA,REP,Ted Cruz,783
Ada,President,NA,REP,Carly Fiorina,53
Adams,President,NA,REP,Carly Fiorina,2
Bannock,President,NA,REP,Carly Fiorina,10
Bear Lake,President,NA,REP,Carly Fiorina,1
Benewah,President,NA,REP,Carly Fiorina,3
Bingham,President,NA,REP,Carly Fiorina,18
Blaine,President,NA,REP,Carly Fiorina,2
Boise,President,NA,REP,Carly Fiorina,2
Bonner,President,NA,REP,Carly Fiorina,8
Bonneville,President,NA,REP,Carly Fiorina,11
Boundary,President,NA,REP,Carly Fiorina,1
Butte,President,NA,REP,Carly Fiorina,1
Camas,President,NA,REP,Carly Fiorina,0
Canyon,President,NA,REP,Carly Fiorina,25
Caribou,President,NA,REP,Carly Fiorina,2
Cassia,President,NA,REP,Carly Fiorina,6
Clark,President,NA,REP,Carly Fiorina,0
Clearwater,President,NA,REP,Carly Fiorina,3
Custer,President,NA,REP,Carly Fiorina,3
Elmore,President,NA,REP,Carly Fiorina,4
Franklin,President,NA,REP,Carly Fiorina,9
Fremont,President,NA,REP,Carly Fiorina,4
Gem,President,NA,REP,Carly Fiorina,1
Gooding,President,NA,REP,Carly Fiorina,0
Idaho,President,NA,REP,Carly Fiorina,3
Jefferson,President,NA,REP,Carly Fiorina,4
Jerome,President,NA,REP,Carly Fiorina,3
Kootenai,President,NA,REP,Carly Fiorina,13
Latah,President,NA,REP,Carly Fiorina,4
Lemhi,President,NA,REP,Carly Fiorina,2
Lewis,President,NA,REP,Carly Fiorina,1
Lincoln,President,NA,REP,Carly Fiorina,0
Madison,President,NA,REP,Carly Fiorina,5
Minidoka,President,NA,REP,Carly Fiorina,1
Nez Perce,President,NA,REP,Carly Fiorina,4
Oneida,President,NA,REP,Carly Fiorina,2
Owyhee,President,NA,REP,Carly Fiorina,0
Payette,President,NA,REP,Carly Fiorina,3
Power,President,NA,REP,Carly Fiorina,0
Shoshone,President,NA,REP,Carly Fiorina,3
Teton,President,NA,REP,Carly Fiorina,0
Twin Falls,President,NA,REP,Carly Fiorina,13
Valley,President,NA,REP,Carly Fiorina,5
Washington,President,NA,REP,Carly Fiorina,7
Ada,President,NA,REP,Lindsey Graham,14
Adams,President,NA,REP,Lindsey Graham,1
Bannock,President,NA,REP,Lindsey Graham,5
Bear Lake,President,NA,REP,Lindsey Graham,0
Benewah,President,NA,REP,Lindsey Graham,1
Bingham,President,NA,REP,Lindsey Graham,1
Blaine,President,NA,REP,Lindsey Graham,3
Boise,President,NA,REP,Lindsey Graham,0
Bonner,President,NA,REP,Lindsey Graham,7
Bonneville,President,NA,REP,Lindsey Graham,5
Boundary,President,NA,REP,Lindsey Graham,3
Butte,President,NA,REP,Lindsey Graham,0
Camas,President,NA,REP,Lindsey Graham,2
Canyon,President,NA,REP,Lindsey Graham,9
Caribou,President,NA,REP,Lindsey Graham,0
Cassia,President,NA,REP,Lindsey Graham,2
Clark,President,NA,REP,Lindsey Graham,0
Clearwater,President,NA,REP,Lindsey Graham,0
Custer,President,NA,REP,Lindsey Graham,2
Elmore,President,NA,REP,Lindsey Graham,4
Franklin,President,NA,REP,Lindsey Graham,1
Fremont,President,NA,REP,Lindsey Graham,0
Gem,President,NA,REP,Lindsey Graham,0
Gooding,President,NA,REP,Lindsey Graham,0
Idaho,President,NA,REP,Lindsey Graham,2
Jefferson,President,NA,REP,Lindsey Graham,2
Jerome,President,NA,REP,Lindsey Graham,0
Kootenai,President,NA,REP,Lindsey Graham,2
Latah,President,NA,REP,Lindsey Graham,0
Lemhi,President,NA,REP,Lindsey Graham,1
Lewis,President,NA,REP,Lindsey Graham,0
Lincoln,President,NA,REP,Lindsey Graham,0
Madison,President,NA,REP,Lindsey Graham,3
Minidoka,President,NA,REP,Lindsey Graham,0
Nez Perce,President,NA,REP,Lindsey Graham,2
Oneida,President,NA,REP,Lindsey Graham,0
Owyhee,President,NA,REP,Lindsey Graham,1
Payette,President,NA,REP,Lindsey Graham,1
Power,President,NA,REP,Lindsey Graham,0
Shoshone,President,NA,REP,Lindsey Graham,1
Teton,President,NA,REP,Lindsey Graham,0
Twin Falls,President,NA,REP,Lindsey Graham,4
Valley,President,NA,REP,Lindsey Graham,1
Washington,President,NA,REP,Lindsey Graham,0
Ada,President,NA,REP,Mike Huckabee,70
Adams,President,NA,REP,Mike Huckabee,1
Bannock,President,NA,REP,Mike Huckabee,12
Bear Lake,President,NA,REP,Mike Huckabee,5
Benewah,President,NA,REP,Mike Huckabee,3
Bingham,President,NA,REP,Mike Huckabee,15
Blaine,President,NA,REP,Mike Huckabee,6
Boise,President,NA,REP,Mike Huckabee,6
Bonner,President,NA,REP,Mike Huckabee,10
Bonneville,President,NA,REP,Mike Huckabee,14
Boundary,President,NA,REP,Mike Huckabee,4
Butte,President,NA,REP,Mike Huckabee,1
Camas,President,NA,REP,Mike Huckabee,0
Canyon,President,NA,REP,Mike Huckabee,29
Caribou,President,NA,REP,Mike Huckabee,0
Cassia,President,NA,REP,Mike Huckabee,4
Clark,President,NA,REP,Mike Huckabee,0
